open,high,low,close,volume,datetime
134.16,136.5,132.0,133.0,55151100,2024-10-25
131.97,132.26,123.5,124.87,80382500,2024-10-28
125.12,126.96,121.85,125.97,67260130,2024-10-29
126.11,127.2,123.52,123.8,35233650,2024-10-30
123.4,124.94,122.25,123.44,34658890,2024-10-31
123.8,125.67,122.71,125.6,24628620,2024-11-01
125.73,129.3,125.01,128.7,32510070,2024-11-02
129.0,129.37,127.37,128.77,22989490,2024-11-05
133.12,136.59,130.4,131.92,108572240,2024-11-06
131.85,135.54,129.65,135.52,52608800,2024-11-07
135.81,137.0,133.64,135.9,64489980,2024-11-08
137.19,138.33,135.24,138.12,45550660,2024-11-11
137.82,137.82,134.64,135.16,33025870,2024-11-12
134.98,136.65,132.27,132.6,32544540,2024-11-13
132.19,133.34,130.67,131.61,40467310,2024-11-14
131.63,134.0,131.02,133.37,48108260,2024-11-15
129.6,130.73,128.75,129.12,59824020,2024-11-18
128.99,129.38,123.8,125.49,59011060,2024-11-19
126.0,126.78,120.36,121.89,61746510,2024-11-20
122.19,124.35,119.62,124.1,77445200,2024-11-21
124.25,124.32,118.4,119.47,72008950,2024-11-22
119.5,120.45,116.06,117.44,53734980,2024-11-25
117.29,119.43,114.01,114.5,58925170,2024-11-26
114.95,119.81,112.34,119.41,93117410,2024-11-27
119.98,121.5,118.25,120.29,54213000,2024-11-28
120.3,124.9,119.6,124.29,73143120,2024-11-29
124.95,125.45,123.51,123.9,42480390,2024-12-02
123.94,124.0,120.71,121.48,34805300,2024-12-03
121.49,123.46,114.13,115.3,87345360,2024-12-04
115.79,117.46,113.0,116.63,94782900,2024-12-05
117.02,117.32,113.9,114.99,48028560,2024-12-06
115.73,117.86,115.0,117.06,41812820,2024-12-09
117.39,117.47,114.5,114.7,38655660,2024-12-10
114.6,116.0,113.75,115.16,47528480,2024-12-11
115.16,115.4,113.0,113.1,40209450,2024-12-12
113.01,114.2,112.46,112.86,34268500,2024-12-13
112.68,112.8,108.11,108.71,78081350,2024-12-16
108.75,109.47,106.1,107.26,67614540,2024-12-17
107.45,108.57,105.22,108.05,79044430,2024-12-18
108.05,111.16,106.0,107.16,164355270,2024-12-19
107.16,116.42,106.88,115.24,154981080,2024-12-20
117.17,120.99,116.58,119.75,96182520,2024-12-23
119.98,123.25,118.48,121.7,108950650,2024-12-24
121.71,128.71,121.12,128.11,168819960,2024-12-25
128.4,129.6,125.72,126.89,103273080,2024-12-26
126.96,128.3,126.41,127.79,49834030,2024-12-27
127.78,130.0,127.7,129.6,52991640,2024-12-28
130.06,133.36,130.06,133.12,52782060,2024-12-30
132.88,133.0,128.2,128.66,44805160,2025-01-03
128.01,128.44,126.53,128.34,23483110,2025-01-06
128.2,129.89,128.14,129.45,21453380,2025-01-08
129.6,129.6,123.51,124.01,66118340,2025-01-09
124.52,127.37,121.31,126.6,102593480,2025-01-10
127.91,132.68,127.72,131.47,102697110,2025-01-13
131.0,134.82,130.0,132.99,91349440,2025-01-14
133.1,136.52,131.85,136.36,75511170,2025-01-15
136.37,137.66,134.11,135.33,72225710,2025-01-16
135.33,139.17,134.7,138.76,68314850,2025-01-17
140.14,140.96,136.55,137.1,79171350,2025-01-20
137.2,138.89,135.22,138.01,51000910,2025-01-21
138.16,139.59,136.0,136.83,56175370,2025-01-22
136.77,138.0,135.55,137.84,37335730,2025-01-23
138.31,139.31,137.07,138.43,40725040,2025-01-24
138.44,138.96,133.82,134.26,46249910,2025-01-27
134.1,138.75,132.77,137.54,74581100,2025-01-28
137.78,139.0,136.0,137.05,32921940,2025-01-29
137.0,140.77,136.79,140.47,67515460,2025-01-30
140.5,144.29,139.6,140.84,104735490,2025-01-31
140.4,142.15,138.4,139.63,61235200,2025-02-03
139.95,140.58,136.6,136.84,50418250,2025-02-04
136.96,140.49,136.1,140.45,67185680,2025-02-05
140.53,143.43,139.1,141.98,73228620,2025-02-06
142.07,143.13,141.01,141.9,39546700,2025-02-07
142.7,144.62,141.93,142.46,62308850,2025-02-10
142.28,143.9,140.77,142.97,46711810,2025-02-11
143.05,154.6,143.03,154.6,233146580,2025-02-12
159.1,175.19,156.33,166.32,532543040,2025-02-13
169.94,173.93,163.07,168.1,325611890,2025-02-14
172.05,180.05,171.1,180.05,213686350,2025-02-17
181.01,184.8,169.0,171.2,318482670,2025-02-18
172.22,177.8,169.12,176.25,140389530,2025-02-19
176.26,176.44,172.23,173.0,84760190,2025-02-20
173.07,174.38,167.61,171.09,101888060,2025-02-21
170.5,177.2,169.22,177.16,115849760,2025-02-24
177.19,179.77,173.74,175.1,100963570,2025-02-25
175.5,175.7,168.75,169.26,102009280,2025-02-26
169.26,171.84,166.22,166.7,115601520,2025-02-27
166.35,172.0,163.53,170.87,146220560,2025-02-28
171.5,171.61,170.15,170.64,2357800,2025-03-01
170.82,172.73,170.25,170.96,11997300,2025-03-02
171.09,171.48,163.35,169.26,140484320,2025-03-03
169.99,175.3,169.55,173.92,99201920,2025-03-04
173.56,178.0,170.26,170.95,130897460,2025-03-05
171.0,175.71,170.0,172.93,86427250,2025-03-06
172.8,174.79,168.13,171.56,85007330,2025-03-07
171.85,172.78,170.15,171.09,35387460,2025-03-10
171.09,172.5,169.15,170.42,61133710,2025-03-11
170.42,171.14,167.7,168.29,46468610,2025-03-12
168.3,171.7,160.71,168.11,214666290,2025-03-13
167.47,171.47,164.38,170.45,110475950,2025-03-14
170.45,170.99,170.34,170.45,2231370,2025-03-15
170.4,173.16,170.37,172.81,8259930,2025-03-16
172.86,174.84,171.47,172.73,105404250,2025-03-17
173.0,174.48,167.55,168.52,141668500,2025-03-18
169.05,169.78,165.57,168.33,74110330,2025-03-19
168.7,169.0,165.67,168.09,83476040,2025-03-20
167.01,168.94,166.02,166.61,54162010,2025-03-21
166.36,166.63,163.11,164.56,44647170,2025-03-24
164.95,166.33,160.25,164.46,84593180,2025-03-25
165.2,167.26,161.21,161.85,58639090,2025-03-26
161.48,162.4,154.9,155.25,90842330,2025-03-27
155.0,156.11,145.2,145.43,169510820,2025-03-28
145.41,145.72,143.99,143.99,8751830,2025-03-29
143.99,143.99,143.99,143.99,653380,2025-03-30
142.43,147.49,140.5,145.69,104167690,2025-03-31
146.08,147.82,136.7,137.5,156092990,2025-04-01
137.5,139.98,135.44,139.23,107497360,2025-04-02
139.8,143.01,130.73,134.54,150797810,2025-04-03
135.95,136.66,126.4,126.7,178364350,2025-04-04
126.0,126.51,124.16,126.28,20162940,2025-04-05
126.05,128.92,125.56,128.54,14999620,2025-04-06
126.0,129.69,118.1,125.57,211393540,2025-04-07
