open,high,low,close,volume,datetime
105.28,106.28,100.5,101.34,28884390,2024-10-25
100.58,101.6,94.22,96.1,46041580,2024-10-28
96.22,100.7,95.08,99.74,28823990,2024-10-29
100.0,100.42,97.04,97.54,19596070,2024-10-30
97.3,99.46,96.76,99.0,20613530,2024-10-31
99.38,100.0,97.22,99.16,18703960,2024-11-01
98.98,100.88,98.32,100.8,7056700,2024-11-02
100.78,105.0,100.28,104.2,21071840,2024-11-05
105.5,108.48,105.1,105.9,36498280,2024-11-06
105.78,110.48,104.66,109.42,38567780,2024-11-07
109.26,112.4,108.08,111.58,41395160,2024-11-08
112.3,113.26,110.64,112.64,28532680,2024-11-11
112.46,114.84,111.12,113.5,27262290,2024-11-12
113.26,115.8,112.7,112.98,38602480,2024-11-13
112.96,114.6,110.56,111.68,22569560,2024-11-14
111.6,115.5,111.28,115.16,19896910,2024-11-15
112.3,115.8,111.7,114.46,34571050,2024-11-18
114.66,116.1,109.52,111.0,39991720,2024-11-19
111.2,112.0,106.0,108.28,29166920,2024-11-20
108.28,109.78,106.6,109.32,29958010,2024-11-21
109.44,109.96,106.76,108.52,24606140,2024-11-22
108.46,108.8,103.1,103.94,22353180,2024-11-25
103.58,106.5,101.86,104.08,26873550,2024-11-26
104.2,111.4,102.74,110.96,45812360,2024-11-27
111.42,112.24,108.08,110.08,33219790,2024-11-28
110.52,114.0,109.68,112.96,23176380,2024-11-29
113.2,114.9,112.72,114.1,17177140,2024-12-02
113.94,114.34,109.3,110.4,22884210,2024-12-03
110.52,110.82,104.1,104.2,30695480,2024-12-04
104.62,108.7,102.8,108.16,33477560,2024-12-05
108.18,109.84,106.72,107.8,24482840,2024-12-06
108.52,109.0,106.38,106.86,21135120,2024-12-09
106.86,106.9,103.5,103.6,23461130,2024-12-10
103.6,104.84,101.5,104.1,23588910,2024-12-11
104.38,104.54,100.1,100.3,23811070,2024-12-12
100.28,102.2,99.68,99.9,20055930,2024-12-13
98.16,99.1,95.3,95.9,31971090,2024-12-16
96.02,96.7,94.8,94.98,22721480,2024-12-17
95.38,95.86,93.04,95.66,25834980,2024-12-18
95.88,99.16,95.0,95.7,45542260,2024-12-19
95.72,105.96,95.7,105.08,53266950,2024-12-20
107.0,108.4,104.0,105.0,52975680,2024-12-23
105.04,106.9,103.78,104.96,37268050,2024-12-24
104.72,108.72,103.54,108.0,42634200,2024-12-25
108.48,111.1,106.54,109.66,48192500,2024-12-26
109.94,111.66,109.26,111.04,21180610,2024-12-27
111.4,114.4,111.1,113.8,24487190,2024-12-28
114.56,115.8,114.36,115.5,16426500,2024-12-30
115.72,115.8,111.82,112.68,10291150,2025-01-03
112.36,113.82,110.66,113.42,9566500,2025-01-06
113.6,114.34,112.82,114.0,6826070,2025-01-08
114.04,114.82,111.02,111.8,18689480,2025-01-09
111.94,116.5,111.02,116.26,30008990,2025-01-10
116.9,120.22,116.8,118.38,39003360,2025-01-13
118.46,120.82,117.44,119.98,24642810,2025-01-14
119.96,121.22,117.16,119.46,26275600,2025-01-15
