open,high,low,close,volume,datetime
4219,4250,4010,4160,632398,2024-10-25
4133,4136,4050,4100,275952,2024-10-28
4499,4500,4186,4312,1580082,2024-10-29
4329,4341,4275,4290,280396,2024-10-30
4250,4270,4186,4190,228164,2024-10-31
4209,4249,4194,4228,151826,2024-11-01
4232,4269,4221,4245,91586,2024-11-02
4282,4297,4246,4262,174586,2024-11-05
4300,4343,4273,4297,312495,2024-11-06
4299,4315,4276,4313,99728,2024-11-07
4319,4400,4317,4399,207091,2024-11-08
4432,4500,4370,4400,406487,2024-11-11
4401,4416,4330,4385,230721,2024-11-12
4390,4500,4362,4498,401820,2024-11-13
4465,4544,4385,4435,531547,2024-11-14
4500,4518,4402,4466,341916,2024-11-15
4402,4480,4350,4453,220128,2024-11-18
4460,4465,4285,4360,276092,2024-11-19
4362,4409,4320,4331,171102,2024-11-20
4349,4365,4210,4240,217832,2024-11-21
4301,4330,4225,4251,185674,2024-11-22
4250,4268,4101,4155,319798,2024-11-25
4145,4175,4032,4051,379283,2024-11-26
4061,4110,3965,4055,330434,2024-11-27
4160,4174,4079,4135,167697,2024-11-28
4144,4192,4080,4159,144907,2024-11-29
4200,4300,4191,4270,261334,2024-12-02
4285,4311,4200,4233,167184,2024-12-03
4239,4262,4180,4189,142217,2024-12-04
4189,4259,4170,4247,140172,2024-12-05
4295,4317,4262,4290,202900,2024-12-06
4307,4320,4281,4313,223495,2024-12-09
4327,4330,4287,4297,190233,2024-12-10
4300,4313,4212,4231,219942,2024-12-11
4250,4278,4130,4141,295406,2024-12-12
4145,4150,4000,4010,451739,2024-12-13
4015,4062,3901,3982,749066,2024-12-16
3100,3293,2983,3060,983729,2024-12-17
3070,3177,3062,3128,289080,2024-12-18
3145,3310,3138,3310,484597,2024-12-19
3299,3497,3205,3480,895385,2024-12-20
3567,3591,3491,3541,539689,2024-12-23
3540,3543,3383,3431,443290,2024-12-24
3420,3450,3370,3426,370176,2024-12-25
3440,3448,3358,3395,404230,2024-12-26
3417,3530,3395,3496,428594,2024-12-27
3500,3685,3500,3636,448386,2024-12-28
3653,3739,3650,3710,220138,2024-12-30
3728,3738,3590,3626,163351,2025-01-03
3618,3619,3553,3599,85543,2025-01-06
3616,3632,3574,3609,76536,2025-01-08
3622,3634,3504,3514,227254,2025-01-09
3536,3714,3521,3669,288983,2025-01-10
3691,3724,3674,3685,240824,2025-01-13
3688,3790,3645,3750,171353,2025-01-14
3750,3760,3679,3741,144895,2025-01-15
3759,3909,3758,3814,342602,2025-01-16
3826,3850,3783,3842,155629,2025-01-17
3854,3885,3800,3800,187044,2025-01-20
3801,3820,3707,3801,173472,2025-01-21
3806,3810,3751,3782,151369,2025-01-22
3791,3805,3742,3805,143717,2025-01-23
3805,3822,3735,3760,237317,2025-01-24
3789,3797,3659,3679,184045,2025-01-27
3679,3740,3619,3721,137560,2025-01-28
3721,3742,3682,3703,169694,2025-01-29
