open,high,low,close,volume,datetime
6970.0,7080.0,6721.5,6750.5,2636435,2024-10-25
6694.0,6785.0,6580.0,6733.5,2422426,2024-10-28
6749.0,6866.0,6708.0,6837.0,1160351,2024-10-29
6856.5,6894.0,6773.5,6792.0,907833,2024-10-30
6792.5,6869.0,6747.0,6794.5,796382,2024-10-31
6806.0,6850.0,6720.5,6844.5,888557,2024-11-01
6835.0,6865.0,6810.0,6842.0,381011,2024-11-02
6867.0,6920.0,6821.0,6873.0,511736,2024-11-05
6999.5,7098.5,6933.5,6996.5,1320154,2024-11-06
6994.0,7139.0,6950.0,7132.0,671029,2024-11-07
7148.0,7192.0,7061.0,7172.0,956239,2024-11-08
7207.0,7235.0,6995.0,7022.5,1552975,2024-11-11
7025.5,7071.5,6967.0,6990.0,690731,2024-11-12
6988.0,7048.0,6918.0,6925.0,739279,2024-11-13
6921.5,7013.5,6900.0,6932.5,871228,2024-11-14
6934.5,7037.0,6911.0,7021.0,505229,2024-11-15
6956.0,7008.0,6874.0,6955.5,621000,2024-11-18
6960.0,6991.5,6810.0,6842.0,866035,2024-11-19
6858.0,6952.5,6776.0,6798.5,856399,2024-11-20
6809.5,6949.0,6768.0,6938.5,1044918,2024-11-21
6940.5,6998.0,6868.0,6940.0,598068,2024-11-22
6946.0,6979.0,6835.5,6886.5,828582,2024-11-25
6870.5,6930.0,6820.5,6869.5,985809,2024-11-26
6870.5,6916.5,6770.0,6896.5,1480684,2024-11-27
6940.0,6940.0,6818.0,6905.5,1240033,2024-11-28
6905.0,6910.0,6832.0,6860.5,1298385,2024-11-29
6879.0,6880.0,6799.0,6810.0,1384851,2024-12-02
6814.5,6823.0,6713.5,6771.0,839193,2024-12-03
6780.0,6812.0,6714.0,6720.5,955724,2024-12-04
6726.0,6861.0,6676.5,6841.0,975551,2024-12-05
6859.5,6913.5,6800.0,6860.0,640937,2024-12-06
6878.0,6997.0,6844.0,6973.0,714117,2024-12-09
6985.0,6991.0,6880.0,6894.0,692702,2024-12-10
6894.0,6914.0,6821.0,6895.5,698882,2024-12-11
6896.5,6959.5,6862.0,6862.5,686873,2024-12-12
6868.5,6884.5,6750.0,6800.0,652556,2024-12-13
6770.5,6787.5,6685.5,6779.5,1119186,2024-12-16
6330.0,6398.0,6256.0,6290.5,1443388,2024-12-17
6297.0,6395.0,6238.0,6375.0,729637,2024-12-18
6379.5,6492.0,6263.0,6294.0,1864085,2024-12-19
6295.5,6804.0,6280.0,6725.0,2155856,2024-12-20
6780.5,6980.0,6761.0,6919.0,1039144,2024-12-23
6920.0,6960.5,6825.0,6833.0,723896,2024-12-24
6827.5,7006.5,6787.5,6987.5,1053316,2024-12-25
6988.5,7096.5,6988.5,7003.0,881931,2024-12-26
7019.5,7038.0,6921.5,6990.5,571522,2024-12-27
6990.5,7012.0,6955.5,6998.0,453986,2024-12-28
7012.0,7260.0,7003.0,7235.0,774713,2024-12-30
7255.0,7260.0,7101.0,7122.0,260788,2025-01-03
7114.5,7160.0,7070.0,7088.0,220602,2025-01-06
7094.5,7124.0,7045.0,7089.0,243483,2025-01-08
7099.0,7117.5,6933.0,6947.5,542165,2025-01-09
6972.0,7146.0,6901.5,7022.5,1695195,2025-01-10
7109.5,7109.5,6979.5,7010.5,694683,2025-01-13
7010.5,7129.5,6980.0,7115.5,631359,2025-01-14
7122.0,7180.0,7070.0,7178.5,617698,2025-01-15
7192.0,7255.0,7170.5,7208.0,562691,2025-01-16
7207.0,7345.0,7190.0,7342.0,643909,2025-01-17
7376.0,7400.0,7165.0,7194.0,868863,2025-01-20
7241.5,7243.0,7141.0,7239.5,409245,2025-01-21
7245.0,7287.5,7206.0,7215.0,538083,2025-01-22
7220.0,7220.0,7140.0,7215.0,456884,2025-01-23
7215.5,7226.0,7160.0,7199.5,346594,2025-01-24
7197.5,7199.0,7013.0,7065.5,503059,2025-01-27
7066.0,7176.0,7040.0,7160.0,459764,2025-01-28
7157.0,7236.5,7117.5,7192.0,546908,2025-01-29
7183.0,7214.5,7152.5,7166.0,384298,2025-01-30
7166.0,7202.0,7141.0,7171.0,541285,2025-01-31
7160.0,7206.0,7104.5,7170.0,429071,2025-02-03
7170.5,7187.5,7066.0,7093.5,421003,2025-02-04
7093.0,7184.5,7084.0,7171.0,370181,2025-02-05
7180.0,7215.0,7140.0,7141.0,560875,2025-02-06
7142.0,7180.0,7120.0,7148.0,326105,2025-02-07
7175.0,7230.0,7130.0,7147.5,572360,2025-02-10
7148.0,7289.5,7147.5,7271.0,609877,2025-02-11
7275.0,7685.0,7217.0,7676.0,1531362,2025-02-12
7681.0,7981.5,7390.0,7534.0,2623687,2025-02-13
7444.5,7734.0,7285.0,7492.5,1544608,2025-02-14
7572.0,7819.0,7550.0,7784.5,1038177,2025-02-17
7799.5,7835.0,7589.0,7644.5,1059018,2025-02-18
7647.5,7760.0,7590.0,7714.5,594519,2025-02-19
7725.0,7780.0,7684.5,7720.0,439511,2025-02-20
7724.0,7790.0,7636.5,7709.5,647985,2025-02-21
7710.0,7744.5,7650.0,7737.5,588507,2025-02-24
7738.0,7805.0,7690.0,7729.0,744941,2025-02-25
7729.0,7764.5,7511.0,7555.0,902425,2025-02-26
7570.0,7630.0,7466.5,7497.0,674597,2025-02-27
7498.5,7559.5,7390.0,7546.5,793310,2025-02-28
7559.5,7580.0,7550.5,7555.0,9744,2025-03-01
7555.5,7566.0,7508.0,7531.0,24473,2025-03-02
7531.5,7539.0,7266.5,7341.5,1084109,2025-03-03
7356.0,7472.0,7245.0,7393.0,1375850,2025-03-04
7405.5,7405.5,7230.0,7241.0,1053735,2025-03-05
