open,high,low,close,volume,datetime
201.99,205.74,198.38,200.11,12034040,2024-10-25
199.1,200.83,190.95,194.9,8145540,2024-10-28
194.9,196.14,190.95,194.88,5565190,2024-10-29
195.47,197.39,191.17,191.8,4305580,2024-10-30
192.44,193.61,185.8,187.66,6197910,2024-10-31
187.74,189.0,184.12,187.18,6922900,2024-11-01
187.42,190.38,186.05,189.32,3648420,2024-11-02
190.12,191.88,188.08,191.24,3758360,2024-11-05
197.02,200.0,193.54,196.21,9087270,2024-11-06
195.73,203.8,193.7,203.25,4850510,2024-11-07
204.51,210.85,202.15,210.5,7692330,2024-11-08
212.67,218.4,211.57,216.82,8022480,2024-11-11
217.2,217.34,210.45,210.89,5357740,2024-11-12
210.0,215.4,206.55,206.75,6809470,2024-11-13
206.61,209.77,205.0,207.0,5351980,2024-11-14
206.8,210.22,203.57,209.18,6334810,2024-11-15
203.49,208.0,202.5,205.35,6656460,2024-11-18
205.0,206.0,198.0,199.08,6795170,2024-11-19
199.58,202.46,194.0,197.45,13527020,2024-11-20
197.51,199.0,192.5,198.48,9019650,2024-11-21
199.0,200.78,196.58,199.01,7865780,2024-11-22
200.8,201.0,189.8,190.28,9906090,2024-11-25
190.24,194.5,185.2,188.39,9610830,2024-11-26
189.44,189.49,182.0,187.45,14295720,2024-11-27
188.86,189.03,181.2,183.88,12888370,2024-11-28
183.73,187.3,181.56,184.88,8289400,2024-11-29
185.9,192.55,185.0,191.76,9271120,2024-12-02
191.68,192.36,182.0,183.72,10758870,2024-12-03
183.36,187.69,177.01,179.9,12542210,2024-12-04
179.94,182.35,173.06,181.18,19974060,2024-12-05
180.81,181.14,177.04,178.2,11945740,2024-12-06
178.8,184.81,178.8,183.89,10366840,2024-12-09
183.89,184.14,178.5,179.08,8315750,2024-12-10
178.87,181.48,177.12,180.3,6838030,2024-12-11
179.94,181.29,174.67,175.71,7275510,2024-12-12
175.08,176.8,174.6,176.01,3280430,2024-12-13
175.95,176.18,171.0,171.64,6242710,2024-12-16
170.9,173.98,168.64,172.0,6456320,2024-12-17
172.19,175.9,170.0,175.47,6058470,2024-12-18
175.8,179.9,173.4,179.2,11414210,2024-12-19
179.15,191.0,177.01,188.5,22107160,2024-12-20
192.03,197.48,188.82,189.67,16760760,2024-12-23
190.5,190.63,183.85,186.09,9127910,2024-12-24
185.72,196.99,183.35,196.61,18610540,2024-12-25
197.07,198.85,193.18,194.08,8568100,2024-12-26
194.61,195.2,190.15,192.45,7728830,2024-12-27
193.0,194.84,190.02,192.61,6374300,2024-12-28
193.34,200.26,193.15,199.22,9746790,2024-12-30
201.1,201.5,193.41,194.83,4595740,2025-01-03
194.44,195.18,191.66,195.0,2228930,2025-01-06
195.6,197.97,194.83,197.7,2832940,2025-01-08
197.87,199.6,191.35,191.72,6172850,2025-01-09
192.91,199.88,190.37,197.39,8845520,2025-01-10
199.1,203.7,198.5,200.54,11096820,2025-01-13
199.4,206.64,198.56,206.38,9015430,2025-01-14
206.1,209.83,204.04,207.09,13449810,2025-01-15
207.0,209.78,205.19,206.68,9328810,2025-01-16
207.48,208.0,204.76,207.4,6406100,2025-01-17
209.82,210.67,204.6,205.13,7979140,2025-01-20
205.52,207.76,202.5,206.46,8021060,2025-01-21
206.87,208.99,204.85,206.48,6066240,2025-01-22
206.51,206.63,203.5,206.34,4277080,2025-01-23
206.88,212.0,205.92,211.25,10905840,2025-01-24
211.11,212.0,206.41,206.73,5370240,2025-01-27
206.3,208.7,204.62,208.27,8065300,2025-01-28
208.27,209.23,203.5,205.13,10610370,2025-01-29
205.13,206.38,203.98,204.85,7382820,2025-01-30
204.86,207.76,204.73,205.01,9882690,2025-01-31
205.31,205.6,201.6,204.27,5902660,2025-02-03
204.27,206.43,198.74,200.08,6102710,2025-02-04
198.82,206.5,197.32,205.39,7933720,2025-02-05
205.76,206.36,203.4,204.12,5572740,2025-02-06
204.13,205.3,203.15,203.99,3731310,2025-02-07
204.12,210.0,204.02,206.1,9558350,2025-02-10
206.26,214.61,206.25,213.87,13031570,2025-02-11
214.05,227.3,214.0,226.61,27852470,2025-02-12
227.3,237.38,224.16,234.7,25518870,2025-02-13
236.99,244.46,222.23,229.95,25739750,2025-02-14
232.14,237.54,232.14,237.54,11149300,2025-02-17
238.22,241.5,233.0,237.98,17396970,2025-02-18
237.98,241.3,233.55,239.79,9714510,2025-02-19
240.49,241.24,237.66,238.79,7490380,2025-02-20
238.76,239.85,229.87,234.09,9241300,2025-02-21
234.25,235.42,231.05,234.3,8330140,2025-02-24
235.16,236.0,231.0,232.01,8539300,2025-02-25
232.13,233.18,221.66,224.0,11539890,2025-02-26
224.06,224.8,216.34,217.2,13271250,2025-02-27
216.0,219.65,214.79,219.2,13139580,2025-02-28
221.4,222.0,220.13,221.13,559410,2025-03-01
221.13,221.57,220.55,221.24,532960,2025-03-02
221.0,225.28,215.02,223.3,13911230,2025-03-03
223.4,227.18,220.22,224.46,24933430,2025-03-04
224.86,224.98,218.0,219.7,19331190,2025-03-05
220.4,221.73,215.48,216.27,16046290,2025-03-06
216.77,217.66,207.25,212.21,21526080,2025-03-07
212.45,214.42,208.31,209.86,11137360,2025-03-10
210.34,214.78,208.17,211.86,14825300,2025-03-11
212.1,213.83,209.52,211.6,8075940,2025-03-12
211.6,213.97,205.51,208.55,15374610,2025-03-13
208.17,214.0,207.21,212.48,8499920,2025-03-14
212.85,213.5,212.49,213.3,479130,2025-03-15
213.3,215.96,212.81,215.69,963130,2025-03-16
215.69,218.5,210.06,216.99,13976940,2025-03-17
217.5,219.2,213.5,214.0,16250770,2025-03-18
214.32,218.34,213.0,216.46,12912500,2025-03-19
217.0,217.5,213.2,215.24,9282350,2025-03-20
215.95,216.79,212.01,213.09,8150210,2025-03-21
213.21,213.31,208.53,209.5,11919060,2025-03-24
209.49,212.37,207.61,210.56,9092540,2025-03-25
211.0,212.34,206.65,207.53,7092100,2025-03-26
207.53,207.8,202.2,202.4,6157700,2025-03-27
202.0,203.03,197.1,198.74,10957270,2025-03-28
198.38,198.74,195.75,195.75,703030,2025-03-29
195.75,195.75,195.75,195.75,201960,2025-03-30
194.75,202.56,193.0,199.55,8956150,2025-03-31
200.77,203.29,193.42,193.69,11767220,2025-04-01
193.71,203.88,193.26,202.34,16025490,2025-04-02
202.97,206.89,194.99,200.49,14564410,2025-04-03
202.55,202.87,192.05,194.9,25344390,2025-04-04
195.0,195.44,192.06,193.77,1896170,2025-04-05
194.0,196.48,193.02,196.35,1926410,2025-04-06
194.81,194.9,186.41,192.95,26987530,2025-04-07
195.02,197.99,189.81,191.01,14192400,2025-04-08
191.1,195.48,185.5,195.3,19416260,2025-04-09
196.64,196.65,189.1,190.75,12124020,2025-04-10
191.26,194.7,190.76,193.72,8131360,2025-04-11
194.0,195.6,194.0,195.57,925930,2025-04-12
194.82,199.0,194.12,197.4,1012530,2025-04-13
196.35,197.29,191.71,193.18,6383970,2025-04-14
193.18,194.0,190.31,191.81,5547940,2025-04-15
191.8,195.82,190.17,194.47,6984650,2025-04-16
194.52,195.99,192.01,195.25,7747810,2025-04-17
194.57,195.14,190.05,191.61,7409220,2025-04-18
192.76,197.5,192.38,197.45,8162830,2025-04-21
197.67,208.86,197.04,206.39,17972350,2025-04-22
207.6,207.68,201.25,205.01,13610870,2025-04-23
205.1,210.95,204.71,209.57,11688270,2025-04-24
211.38,211.97,206.75,208.02,15854850,2025-04-25
