open,high,low,close,volume,datetime
125.9,126.5,117.9,121.14,27070620,2024-10-25
119.98,120.0,115.4,117.22,15531480,2024-10-28
117.22,121.76,115.72,121.28,15420770,2024-10-29
121.36,123.08,117.54,117.68,15752630,2024-10-30
117.2,120.3,116.72,118.08,17550780,2024-10-31
118.5,120.28,117.48,120.2,13772120,2024-11-01
120.42,122.0,120.04,121.8,6505800,2024-11-02
121.92,125.8,121.32,125.8,12947020,2024-11-05
127.5,130.26,126.14,127.48,16314540,2024-11-06
127.48,132.0,125.94,130.48,12478820,2024-11-07
131.02,132.0,128.98,130.82,13125870,2024-11-08
131.26,135.68,131.12,135.24,16569720,2024-11-11
134.8,135.16,130.56,130.98,8277100,2024-11-12
130.5,133.88,130.0,130.2,8538250,2024-11-13
129.7,132.5,129.5,130.66,6800770,2024-11-14
130.72,134.6,129.3,134.06,9197010,2024-11-15
130.76,133.48,130.0,130.54,9164810,2024-11-18
130.56,130.86,125.46,126.26,10575320,2024-11-19
126.28,127.72,121.48,122.88,9197280,2024-11-20
122.94,124.0,119.02,123.32,12050980,2024-11-21
123.2,124.42,121.06,122.68,8335510,2024-11-22
122.6,122.64,117.3,119.16,11113050,2024-11-25
118.94,121.0,117.28,118.88,12031540,2024-11-26
118.98,123.9,115.82,123.88,18069340,2024-11-27
124.2,127.88,122.34,124.0,18097910,2024-11-28
124.0,127.0,122.56,124.56,7895320,2024-11-29
124.98,127.38,123.82,124.68,7002960,2024-12-02
124.9,124.9,120.2,121.28,7574420,2024-12-03
121.34,123.0,118.0,118.7,8694990,2024-12-04
118.7,122.44,117.12,120.62,11691990,2024-12-05
120.92,122.1,118.4,120.8,9080060,2024-12-06
121.2,124.1,121.0,123.4,8038550,2024-12-09
123.44,123.96,118.86,119.38,11824670,2024-12-10
119.6,120.7,117.8,120.0,9583100,2024-12-11
120.08,120.66,116.0,116.04,11221330,2024-12-12
115.8,118.14,115.32,117.02,10943810,2024-12-13
116.74,117.12,113.64,115.04,12494980,2024-12-16
114.94,117.0,113.2,114.9,12896240,2024-12-17
115.12,117.98,114.46,116.94,8279300,2024-12-18
117.02,120.48,116.76,120.02,13676980,2024-12-19
120.0,136.74,118.66,136.18,34158940,2024-12-20
137.12,140.0,130.66,134.1,22556760,2024-12-23
135.0,136.26,131.32,133.68,9954470,2024-12-24
133.1,136.2,131.8,135.3,14145870,2024-12-25
135.58,137.58,133.44,133.78,13029440,2024-12-26
133.9,135.5,132.72,134.86,8818260,2024-12-27
135.16,140.3,135.02,139.62,9397170,2024-12-28
139.94,147.8,139.64,147.78,11127450,2024-12-30
148.06,148.38,142.42,144.54,8816600,2025-01-03
144.18,146.5,142.08,146.02,8868030,2025-01-06
145.9,147.4,144.7,146.8,4462260,2025-01-08
146.92,147.18,141.6,142.46,8705850,2025-01-09
142.9,150.72,142.88,149.34,18203620,2025-01-10
149.9,151.58,147.12,148.24,11211240,2025-01-13
148.0,150.18,146.5,148.58,6688110,2025-01-14
148.2,149.84,144.82,149.6,10057940,2025-01-15
149.66,151.18,148.06,149.06,8229010,2025-01-16
148.8,154.9,148.3,153.62,14254530,2025-01-17
155.0,155.94,150.0,150.5,12147840,2025-01-20
150.84,151.54,146.4,149.42,11846400,2025-01-21
149.46,150.44,146.0,146.4,13188030,2025-01-22
146.3,146.32,142.52,145.28,13195470,2025-01-23
145.64,148.26,144.06,147.16,12322130,2025-01-24
147.44,147.84,141.0,141.36,11623930,2025-01-27
141.48,146.0,139.66,145.18,12032420,2025-01-28
144.58,146.68,143.86,144.6,7411800,2025-01-29
144.5,149.64,144.02,149.1,10084990,2025-01-30
149.02,149.88,144.84,146.0,9944900,2025-01-31
146.0,146.0,138.5,140.1,21083720,2025-02-03
140.14,141.78,138.62,138.78,12245250,2025-02-04
138.72,142.0,136.12,141.46,12220500,2025-02-05
141.5,142.4,138.86,139.6,11012150,2025-02-06
139.8,141.4,138.6,140.92,6755380,2025-02-07
141.56,143.04,139.48,140.42,9511070,2025-02-10
140.64,144.2,138.24,144.12,13352560,2025-02-11
144.14,151.74,142.64,150.32,22282890,2025-02-12
151.02,158.0,148.12,151.6,20719450,2025-02-13
164.0,164.0,138.76,148.58,25761850,2025-02-14
150.12,157.1,150.0,156.92,18889830,2025-02-17
156.94,159.12,152.2,153.94,15907940,2025-02-18
154.2,156.62,152.5,155.9,8463220,2025-02-19
156.4,159.8,155.3,157.84,11473320,2025-02-20
157.84,162.78,156.64,160.4,16097840,2025-02-21
160.5,165.6,160.1,165.16,19942830,2025-02-24
165.36,168.2,162.74,164.02,15597360,2025-02-25
164.82,165.8,156.4,158.0,14941400,2025-02-26
158.3,159.5,153.74,156.72,12123120,2025-02-27
156.1,159.32,152.88,158.3,13344760,2025-02-28
158.82,161.18,158.42,160.26,377830,2025-03-01
159.76,160.18,157.6,158.0,292580,2025-03-02
157.76,158.14,152.54,156.58,9847290,2025-03-03
157.2,164.4,156.66,163.18,14093640,2025-03-04
163.16,164.34,158.24,158.72,11535500,2025-03-05
159.0,162.08,158.52,160.64,5600950,2025-03-06
161.0,162.6,156.22,159.4,7862410,2025-03-07
159.72,160.9,157.72,159.06,4418570,2025-03-10
159.1,160.5,157.02,158.22,6317460,2025-03-11
158.22,158.7,156.0,156.96,3982220,2025-03-12
156.96,159.78,151.52,156.16,10439110,2025-03-13
156.02,156.74,153.12,155.56,7046180,2025-03-14
155.58,156.38,155.22,156.08,117110,2025-03-15
156.08,159.18,155.36,158.8,496700,2025-03-16
158.6,161.44,158.16,161.4,7298440,2025-03-17
161.5,163.4,157.28,158.08,9873260,2025-03-18
158.08,159.92,156.04,159.14,6381370,2025-03-19
159.14,160.66,156.9,159.36,6797840,2025-03-20
159.36,160.12,156.02,157.02,5377250,2025-03-21
157.0,157.44,154.0,154.44,4721520,2025-03-24
154.4,155.7,150.52,154.46,7046740,2025-03-25
154.58,155.5,148.76,149.1,6680310,2025-03-26
149.1,149.1,142.64,143.1,12614160,2025-03-27
142.88,144.78,140.06,142.26,12236130,2025-03-28
142.44,142.46,139.08,139.6,1402180,2025-03-29
139.6,141.0,139.06,139.14,1564830,2025-03-30
139.08,145.04,137.52,144.58,12950440,2025-03-31
144.46,145.84,139.74,140.24,9917880,2025-04-01
140.24,144.26,139.3,143.58,6034350,2025-04-02
143.8,144.76,135.28,138.2,11397120,2025-04-03
139.02,139.2,129.0,129.28,17671170,2025-04-04
129.0,129.0,126.3,128.6,1601210,2025-04-05
128.98,131.14,128.2,130.56,1634750,2025-04-06
128.2,129.1,119.12,124.64,29657370,2025-04-07
125.26,126.46,120.8,121.0,14397930,2025-04-08
120.7,128.68,118.84,128.08,22234490,2025-04-09
128.6,129.88,125.2,128.12,11428720,2025-04-10
127.66,135.3,127.66,135.06,17248190,2025-04-11
136.0,137.38,136.0,137.3,1074980,2025-04-12
137.1,137.48,136.58,136.92,463500,2025-04-13
136.92,137.08,130.42,131.34,8514110,2025-04-14
131.52,132.5,129.28,130.56,5428280,2025-04-15
130.74,133.38,128.22,131.8,8036850,2025-04-16
131.8,134.5,131.6,134.28,7036960,2025-04-17
132.96,133.42,129.0,130.84,10101740,2025-04-18
131.04,132.3,129.72,131.86,9402330,2025-04-21
132.1,137.0,131.56,136.02,12331520,2025-04-22
136.06,136.9,131.62,133.06,8325730,2025-04-23
133.0,135.5,132.56,133.36,7170810,2025-04-24
133.6,136.32,133.42,135.76,6286870,2025-04-25
