open,high,low,close,volume,datetime
922.0,931.2,898.0,903.4,3196054,2024-10-25
897.6,897.8,861.2,868.4,3151692,2024-10-28
868.2,879.4,851.2,865.4,2538289,2024-10-29
871.2,883.0,861.4,862.0,1911916,2024-10-30
860.6,867.2,838.2,843.8,2138246,2024-10-31
845.8,854.8,835.0,854.6,1893235,2024-11-01
856.0,870.2,851.4,868.0,824450,2024-11-02
869.2,873.6,860.4,867.2,1128488,2024-11-05
891.8,918.0,883.0,895.2,3593914,2024-11-06
895.2,924.0,883.8,923.2,1795698,2024-11-07
924.6,945.8,923.2,944.8,2392488,2024-11-08
950.2,957.0,935.0,944.6,1718276,2024-11-11
942.8,951.4,922.8,927.8,2146381,2024-11-12
926.8,936.8,897.0,902.4,2093345,2024-11-13
903.0,910.4,890.0,893.8,1714009,2024-11-14
896.0,922.0,890.0,917.8,1577217,2024-11-15
903.2,913.2,890.4,898.8,2095736,2024-11-18
898.0,901.0,869.0,875.0,2135998,2024-11-19
876.0,879.8,837.0,847.8,3239129,2024-11-20
849.4,870.0,837.4,864.8,2724199,2024-11-21
865.8,868.0,814.8,822.8,4087555,2024-11-22
823.0,831.6,805.6,822.8,4458430,2024-11-25
822.8,836.8,803.0,807.8,3461106,2024-11-26
809.2,828.0,777.2,828.0,4851185,2024-11-27
831.2,841.2,812.0,816.6,2691003,2024-11-28
816.6,839.0,815.0,835.6,1923778,2024-11-29
839.0,854.4,836.8,846.2,1914682,2024-12-02
847.0,847.6,815.0,824.0,1522189,2024-12-03
822.0,839.8,790.0,800.0,3199982,2024-12-04
802.2,832.2,782.0,830.4,4059109,2024-12-05
829.0,839.4,816.6,833.2,2408239,2024-12-06
839.8,847.0,825.6,829.2,2184253,2024-12-09
829.2,829.6,809.0,811.6,1890012,2024-12-10
810.6,814.0,800.0,810.0,1767567,2024-12-11
810.0,815.6,788.0,791.2,2150107,2024-12-12
791.6,797.0,784.0,790.2,1675863,2024-12-13
790.0,790.2,764.4,767.2,2325306,2024-12-16
768.6,779.2,765.2,771.6,1416451,2024-12-17
772.6,785.0,763.2,784.8,1978452,2024-12-18
785.0,817.6,780.6,814.4,4886709,2024-12-19
812.0,917.6,805.2,894.0,6634056,2024-12-20
905.4,950.0,894.4,944.0,5240259,2024-12-23
942.0,942.6,907.4,915.4,3413385,2024-12-24
910.0,933.8,900.0,929.4,3824067,2024-12-25
929.0,969.0,916.2,949.8,4442590,2024-12-26
950.0,959.4,934.4,949.2,2434113,2024-12-27
947.8,962.4,940.0,951.8,2396966,2024-12-28
962.8,999.6,956.2,996.0,2115864,2024-12-30
1010.8,1013.0,958.0,963.8,2013105,2025-01-03
961.2,968.0,944.2,965.0,1168155,2025-01-06
965.2,981.6,960.8,976.6,982564,2025-01-08
978.0,984.4,927.0,930.8,2495086,2025-01-09
937.2,976.0,930.0,969.0,4436928,2025-01-10
986.0,1019.6,975.0,1007.4,6986172,2025-01-13
1002.8,1024.8,992.0,1009.0,3892641,2025-01-14
1003.6,1009.4,980.0,1007.8,4332793,2025-01-15
1007.4,1009.2,987.0,990.2,3069513,2025-01-16
990.6,1013.6,983.2,1006.0,3020705,2025-01-17
1018.6,1022.0,971.0,974.4,3594407,2025-01-20
982.6,1000.0,970.2,998.8,2494081,2025-01-21
1001.0,1038.8,990.2,1017.6,6659005,2025-01-22
1016.6,1029.6,1006.0,1024.2,2666272,2025-01-23
1026.4,1035.0,1018.0,1029.8,2199826,2025-01-24
1029.8,1035.8,1000.0,1003.4,2368866,2025-01-27
1005.0,1030.0,986.0,1022.4,3562439,2025-01-28
1023.0,1058.2,1021.2,1046.0,5064988,2025-01-29
1046.0,1086.4,1043.6,1085.6,5690575,2025-01-30
1086.2,1106.8,1066.2,1082.0,4851838,2025-01-31
1082.0,1089.6,1061.0,1070.2,2487469,2025-02-03
1068.0,1085.6,1058.2,1062.2,1646238,2025-02-04
1062.0,1103.4,1059.0,1100.0,4436918,2025-02-05
1101.8,1116.6,1090.6,1101.4,3144018,2025-02-06
1101.4,1106.0,1091.2,1101.8,1319944,2025-02-07
1107.6,1157.6,1105.4,1132.6,6220639,2025-02-10
1130.4,1168.0,1130.4,1167.8,5529854,2025-02-11
1169.0,1278.2,1152.4,1277.2,17133792,2025-02-12
1278.2,1294.6,1224.0,1255.8,8948192,2025-02-13
1267.4,1275.0,1195.0,1218.8,7718967,2025-02-14
1228.0,1294.8,1227.8,1292.8,5493088,2025-02-17
1294.2,1300.0,1229.0,1254.6,5267108,2025-02-18
1251.8,1283.2,1235.6,1280.0,2771566,2025-02-19
1279.0,1322.8,1265.2,1308.4,4491811,2025-02-20
1309.0,1331.0,1300.0,1326.4,3768778,2025-02-21
1323.0,1345.6,1309.4,1342.8,4378650,2025-02-24
1339.0,1350.0,1315.2,1327.8,3192517,2025-02-25
1333.8,1336.6,1263.2,1266.8,4295331,2025-02-26
1262.4,1294.4,1231.2,1254.4,4946038,2025-02-27
1237.2,1291.0,1221.0,1285.2,5301010,2025-02-28
1290.8,1292.8,1280.6,1283.2,79311,2025-03-01
1282.0,1286.0,1261.6,1266.6,165111,2025-03-02
1267.8,1274.6,1221.2,1255.2,4690998,2025-03-03
1253.8,1323.0,1253.8,1319.0,3883686,2025-03-04
