open,high,low,close,volume,datetime
469.6,470.65,455.5,456.1,6546239,2024-10-25
451.25,455.4,433.3,434.75,8581299,2024-10-28
434.8,446.55,434.5,442.35,7589756,2024-10-29
443.0,449.5,438.1,439.05,6093456,2024-10-30
438.8,442.35,429.1,434.1,5968005,2024-10-31
435.0,449.2,433.5,444.35,9634519,2024-11-01
444.3,457.0,441.9,457.0,5093391,2024-11-02
460.05,465.6,457.5,460.5,4409489,2024-11-05
471.4,478.75,463.45,466.85,7674001,2024-11-06
467.1,475.55,455.95,475.5,4021002,2024-11-07
477.6,482.0,470.1,481.5,5803483,2024-11-08
492.05,498.8,487.3,490.6,11315369,2024-11-11
489.4,493.9,480.85,482.05,5369836,2024-11-12
480.25,493.65,475.7,480.35,8473157,2024-11-13
480.2,483.45,471.0,473.3,4705336,2024-11-14
472.95,480.95,469.5,480.1,3981560,2024-11-15
472.5,477.95,468.7,471.95,4441158,2024-11-18
472.75,473.9,454.4,459.7,6148991,2024-11-19
461.0,462.6,444.4,449.25,6283309,2024-11-20
451.05,459.35,443.65,458.95,6669932,2024-11-21
459.0,464.75,452.05,459.9,5819414,2024-11-22
459.9,466.3,445.8,453.65,9306846,2024-11-25
452.45,459.0,445.75,450.8,5563203,2024-11-26
452.1,474.6,447.6,474.15,13010214,2024-11-27
476.1,486.0,468.05,474.85,6572214,2024-11-28
470.0,484.0,469.55,478.0,5828746,2024-11-29
484.05,491.0,481.25,489.3,5109217,2024-12-02
489.4,493.4,483.25,490.5,4693084,2024-12-03
490.7,496.8,470.0,473.1,7264293,2024-12-04
474.6,493.25,469.5,488.2,6458664,2024-12-05
489.35,492.0,485.0,485.3,3376455,2024-12-06
489.3,495.95,486.55,491.05,3323569,2024-12-09
491.25,494.9,482.05,484.6,3939583,2024-12-10
483.45,490.2,480.4,488.75,2591974,2024-12-11
488.05,493.95,484.05,485.45,4113651,2024-12-12
485.55,487.45,473.0,483.65,6023291,2024-12-13
483.6,483.65,473.1,477.4,3669392,2024-12-16
476.4,481.9,475.5,480.65,3047245,2024-12-17
481.5,489.9,479.35,487.7,3376032,2024-12-18
489.1,507.7,485.7,506.15,10763960,2024-12-19
506.2,566.45,501.0,559.6,19279025,2024-12-20
562.2,586.4,560.5,569.9,13448483,2024-12-23
570.5,582.0,566.65,572.7,6273827,2024-12-24
572.5,585.0,565.5,581.95,7540003,2024-12-25
583.7,588.95,578.1,579.1,5001976,2024-12-26
579.15,598.8,577.35,591.0,11622567,2024-12-27
592.1,598.25,591.5,596.0,5120642,2024-12-28
597.0,607.95,595.05,606.05,6767298,2024-12-30
611.45,611.8,586.25,596.1,4908115,2025-01-03
596.1,596.8,586.0,588.45,3510539,2025-01-06
590.2,594.75,588.6,593.45,2480469,2025-01-08
592.05,597.2,567.2,574.8,16392839,2025-01-09
542.5,567.0,538.95,562.95,17777796,2025-01-10
565.15,568.95,540.0,545.5,14236385,2025-01-13
543.0,546.85,532.65,540.35,9846376,2025-01-14
540.7,548.8,534.55,547.6,6713019,2025-01-15
548.7,554.0,544.0,546.4,6576084,2025-01-16
545.0,558.95,541.65,554.9,7190211,2025-01-17
557.65,559.1,535.35,537.7,8157806,2025-01-20
538.15,544.3,531.6,542.1,4440760,2025-01-21
542.15,551.8,537.5,540.0,5789796,2025-01-22
539.8,544.0,535.3,539.1,4240267,2025-01-23
540.2,542.35,535.0,535.85,3221155,2025-01-24
535.8,538.75,515.0,516.35,8995890,2025-01-27
517.7,536.2,510.15,534.85,9369499,2025-01-28
535.0,540.9,531.5,535.6,4580118,2025-01-29
536.95,537.0,531.0,534.85,3486466,2025-01-30
534.9,539.0,523.15,526.8,6817960,2025-01-31
526.9,527.7,516.4,519.2,4771537,2025-02-03
520.0,525.0,515.35,518.95,3126603,2025-02-04
517.65,524.3,512.3,522.05,5329594,2025-02-05
522.5,531.7,517.0,528.2,6147939,2025-02-06
528.0,536.0,527.1,530.25,5022601,2025-02-07
532.25,542.5,528.65,533.15,5447495,2025-02-10
533.8,542.0,529.8,538.9,4729350,2025-02-11
541.05,583.7,538.2,577.85,12763493,2025-02-12
578.1,594.0,556.75,573.3,16030951,2025-02-13
615.0,615.0,519.55,561.95,12978048,2025-02-14
569.8,585.25,566.1,585.2,6237543,2025-02-17
585.3,593.6,566.65,574.2,8535429,2025-02-18
575.0,579.0,564.6,575.95,4110945,2025-02-19
576.0,584.4,573.15,577.95,3118154,2025-02-20
580.3,581.7,567.0,572.55,3887286,2025-02-21
571.05,573.7,554.4,569.45,9149316,2025-02-24
569.7,585.9,567.05,582.8,10117028,2025-02-25
583.0,584.8,562.15,569.25,8185088,2025-02-26
569.95,571.95,551.0,552.85,7466348,2025-02-27
552.9,562.25,541.0,556.05,7056167,2025-02-28
559.45,560.8,558.8,559.95,86491,2025-03-01
559.95,560.4,555.2,557.45,149692,2025-03-02
557.85,558.0,535.1,539.0,8901621,2025-03-03
539.55,549.5,532.0,540.1,13860786,2025-03-04
541.0,541.8,530.0,530.5,9935573,2025-03-05
531.0,535.85,528.55,529.55,4994078,2025-03-06
531.05,536.95,520.4,528.8,7444660,2025-03-07
528.95,534.7,525.6,527.3,3689417,2025-03-10
527.55,531.0,523.5,527.35,3488107,2025-03-11
527.6,535.05,523.05,533.7,4981593,2025-03-12
533.8,537.5,518.4,528.15,9494379,2025-03-13
526.0,532.4,523.45,530.6,4091099,2025-03-14
531.25,532.35,530.25,532.0,194587,2025-03-15
532.0,535.55,530.6,535.5,775798,2025-03-16
536.0,544.0,535.1,539.55,6947482,2025-03-17
540.55,543.4,528.1,535.45,7138802,2025-03-18
537.9,539.6,530.0,535.9,2984714,2025-03-19
536.0,539.5,527.75,536.85,6023275,2025-03-20
537.4,541.85,531.9,534.6,4222914,2025-03-21
534.7,535.7,520.05,521.4,6019326,2025-03-24
521.95,525.35,510.75,521.7,6568051,2025-03-25
522.1,523.5,512.6,513.75,2491210,2025-03-26
515.0,515.85,501.1,502.4,5283858,2025-03-27
501.0,508.9,495.35,496.75,6887617,2025-03-28
497.9,498.6,488.75,491.1,881645,2025-03-29
490.15,490.85,485.0,485.0,992651,2025-03-30
484.7,497.35,477.75,490.5,6603071,2025-03-31
492.45,497.7,473.5,474.6,8202259,2025-04-01
475.15,483.0,468.3,477.9,9550129,2025-04-02
478.0,481.8,456.65,462.8,9139438,2025-04-03
465.2,466.95,441.1,441.3,16033401,2025-04-04
440.45,441.95,431.55,440.0,2919021,2025-04-05
442.2,449.0,440.15,447.5,1539519,2025-04-06
427.95,456.35,416.15,450.7,21122839,2025-04-07
453.9,458.2,428.05,429.0,11191880,2025-04-08
427.4,449.8,416.35,446.0,18769467,2025-04-09
447.6,454.0,433.65,438.0,8805936,2025-04-10
438.35,453.55,437.05,450.9,6651972,2025-04-11
454.15,456.95,453.5,456.05,861636,2025-04-12
456.0,458.8,454.4,457.6,1046829,2025-04-13
457.65,457.65,445.5,449.3,4101794,2025-04-14
449.5,454.0,446.5,452.05,2455003,2025-04-15
452.0,459.2,447.5,452.25,3466184,2025-04-16
453.4,479.9,453.0,478.7,13770554,2025-04-17
473.5,478.0,467.55,476.85,8664973,2025-04-18
478.9,485.15,475.25,482.0,5475735,2025-04-21
482.2,486.3,476.0,482.65,6603861,2025-04-22
482.6,484.0,467.7,471.4,6251473,2025-04-23
471.4,474.2,468.0,469.9,3195998,2025-04-24
470.35,481.55,470.1,480.0,5800529,2025-04-25
