open,high,low,close,volume,datetime
252.76,255.35,245.7,246.35,80582460,2024-10-25
245.07,249.0,241.61,242.56,71823960,2024-10-28
243.19,244.6,239.88,242.66,47036950,2024-10-29
242.86,246.22,241.11,241.45,39715140,2024-10-30
241.39,242.8,236.23,237.9,57012180,2024-10-31
237.91,239.1,234.57,238.03,48318530,2024-11-01
237.88,240.0,237.71,238.97,14853190,2024-11-02
239.61,241.2,238.07,239.23,28108960,2024-11-05
247.0,248.56,242.05,243.6,77709700,2024-11-06
243.26,251.0,242.16,250.93,44425190,2024-11-07
251.5,255.99,250.5,255.98,57955250,2024-11-08
257.98,261.3,256.49,260.73,67108770,2024-11-11
259.99,260.7,255.27,255.77,40858380,2024-11-12
255.3,258.96,254.05,254.7,44517870,2024-11-13
254.3,255.92,248.6,249.52,48972450,2024-11-14
249.4,254.43,248.05,253.43,44169640,2024-11-15
249.09,251.94,247.3,248.72,51127080,2024-11-18
249.05,249.83,239.62,240.59,75453920,2024-11-19
241.8,243.59,234.74,237.05,70236990,2024-11-20
237.16,240.94,234.0,240.47,75052950,2024-11-21
240.55,241.0,234.78,236.0,45501870,2024-11-22
236.0,237.1,227.25,227.81,76358230,2024-11-25
227.81,231.9,221.2,223.16,96738220,2024-11-26
223.88,226.47,219.2,226.3,112401690,2024-11-27
227.06,229.5,222.48,228.56,67717140,2024-11-28
228.48,236.99,227.55,236.49,70247610,2024-11-29
237.09,238.7,234.32,235.17,45050170,2024-12-02
235.29,235.97,230.26,230.8,45313800,2024-12-03
231.05,233.79,224.3,224.55,72374990,2024-12-04
224.6,233.75,222.82,233.48,86902200,2024-12-05
233.63,238.25,231.52,237.84,81003410,2024-12-06
239.27,240.51,236.75,237.29,52314320,2024-12-09
238.0,238.01,230.65,230.82,58548350,2024-12-10
230.5,234.39,229.22,234.19,64817940,2024-12-11
234.0,235.95,228.52,229.02,59118900,2024-12-12
228.89,231.33,227.85,228.7,46091280,2024-12-13
228.6,229.05,224.38,225.53,54519260,2024-12-16
225.58,227.49,223.72,226.5,45827690,2024-12-17
226.72,230.8,224.33,230.15,58002020,2024-12-18
230.17,234.99,227.71,229.0,123831990,2024-12-19
229.32,258.98,228.03,257.6,235163880,2024-12-20
260.0,270.0,256.51,264.9,162588610,2024-12-23
264.93,266.79,261.02,264.34,83747800,2024-12-24
263.64,273.0,260.31,271.69,125501440,2024-12-25
272.02,274.25,269.1,269.56,75523970,2024-12-26
269.69,272.16,268.57,271.2,52121690,2024-12-27
271.37,273.99,270.4,272.83,39560080,2024-12-28
273.99,279.49,273.7,279.43,52353840,2024-12-30
279.99,280.41,271.8,272.25,42928720,2025-01-03
270.88,274.41,270.07,274.37,28260720,2025-01-06
273.39,277.87,273.09,277.0,26185200,2025-01-08
276.89,278.77,270.73,271.8,52866520,2025-01-09
272.32,279.53,270.27,278.77,71104590,2025-01-10
280.65,284.75,278.6,279.8,66252420,2025-01-13
279.82,282.36,277.41,279.85,45983040,2025-01-14
280.0,282.82,276.06,282.77,52822640,2025-01-15
283.72,284.0,281.18,281.8,49321630,2025-01-16
282.2,284.64,280.19,283.53,51815780,2025-01-17
285.11,286.23,277.61,278.19,67543880,2025-01-20
279.39,281.85,276.32,281.85,40374630,2025-01-21
281.94,284.0,280.2,280.36,47032130,2025-01-22
280.79,280.79,277.35,280.49,38509890,2025-01-23
281.0,282.75,279.25,280.74,32083360,2025-01-24
280.72,280.97,275.01,275.23,39028630,2025-01-27
275.25,279.26,274.01,278.35,39024990,2025-01-28
277.95,282.18,277.12,280.36,39150990,2025-01-29
280.37,282.5,280.36,281.97,28018670,2025-01-30
281.83,284.11,280.27,280.73,40327370,2025-01-31
280.21,280.35,278.0,279.55,30335260,2025-02-03
279.55,281.41,275.7,277.4,23982810,2025-02-04
277.3,283.89,275.34,282.88,43063150,2025-02-05
283.89,288.92,282.09,287.15,69290140,2025-02-06
287.66,288.9,285.08,285.81,27610110,2025-02-07
287.64,294.55,287.61,289.94,72903060,2025-02-10
290.42,294.1,289.3,294.06,55991750,2025-02-11
294.3,314.4,291.3,314.0,185802940,2025-02-12
315.61,318.72,307.2,310.1,116571990,2025-02-13
315.59,317.84,303.06,309.87,126690930,2025-02-14
314.0,319.55,312.31,319.5,84607980,2025-02-17
319.9,320.92,310.21,312.95,84855800,2025-02-18
313.53,317.25,311.01,315.91,50473290,2025-02-19
315.91,317.96,314.02,315.05,33153140,2025-02-20
315.48,316.69,312.0,314.74,32724140,2025-02-21
314.93,316.4,313.0,316.03,35706150,2025-02-24
316.03,318.59,315.62,316.97,38812180,2025-02-25
317.0,317.45,308.31,310.22,73822090,2025-02-26
310.22,312.45,305.43,307.1,60919290,2025-02-27
306.01,310.4,304.05,309.63,65631160,2025-02-28
309.84,310.94,309.47,310.11,1138430,2025-03-01
309.5,309.63,306.8,307.44,1885110,2025-03-02
306.45,307.92,300.2,305.5,66383120,2025-03-03
306.43,318.5,306.14,316.4,88099480,2025-03-04
316.5,318.3,313.0,313.56,57710050,2025-03-05
313.63,317.43,313.57,315.18,31957120,2025-03-06
315.3,321.87,310.69,316.92,110870150,2025-03-07
317.0,320.63,316.37,317.57,39294670,2025-03-10
317.78,321.98,315.57,319.69,64926270,2025-03-11
319.8,320.9,315.8,318.39,41920410,2025-03-12
318.39,320.5,312.5,316.37,78546460,2025-03-13
315.91,321.1,314.12,320.51,51691040,2025-03-14
320.69,321.3,319.82,320.74,1455280,2025-03-15
320.52,323.5,320.52,323.44,5680630,2025-03-16
323.45,326.97,322.62,326.02,58625040,2025-03-17
326.19,329.77,323.82,324.06,72941970,2025-03-18
324.49,326.88,322.3,325.3,39792530,2025-03-19
325.41,326.0,321.8,324.05,42352140,2025-03-20
324.0,326.08,322.15,323.26,28693860,2025-03-21
323.26,323.94,318.51,319.47,33031030,2025-03-24
320.0,322.2,314.65,319.8,48324870,2025-03-25
320.0,320.88,315.01,315.23,20575860,2025-03-26
315.8,317.16,311.95,311.96,36144680,2025-03-27
311.95,313.65,305.65,308.04,51856020,2025-03-28
307.8,308.3,302.64,303.89,5739820,2025-03-29
