open,high,low,close,volume,datetime
24.035,24.38,23.32,23.47,59666400,2024-10-25
23.095,23.6,22.52,22.805,59857200,2024-10-28
22.805,23.095,22.545,22.935,47419000,2024-10-29
23.05,23.265,22.71,22.735,44316400,2024-10-30
22.73,23.03,22.375,22.575,38984500,2024-10-31
22.58,23.155,22.395,23.14,39910000,2024-11-01
23.2,23.735,23.045,23.715,27309000,2024-11-02
23.835,24.08,23.745,23.96,31192500,2024-11-05
24.47,24.89,24.215,24.53,42483900,2024-11-06
24.475,25.05,24.17,24.885,29740700,2024-11-07
25.01,25.4,24.9,25.335,38154300,2024-11-08
25.46,25.7,25.14,25.27,39186300,2024-11-11
25.23,25.315,25.015,25.095,20701200,2024-11-12
25.105,25.8,25.095,25.415,40655600,2024-11-13
25.38,26.065,25.29,25.705,35566000,2024-11-14
25.815,25.88,25.605,25.84,26831300,2024-11-15
25.325,25.69,25.16,25.405,29009900,2024-11-18
25.425,25.63,24.085,24.415,56290300,2024-11-19
24.535,24.69,23.3,23.72,53719500,2024-11-20
23.745,24.55,23.47,24.42,100732700,2024-11-21
24.43,24.535,23.62,23.78,51950500,2024-11-22
23.875,24.235,22.985,23.095,44565000,2024-11-25
23.145,23.485,22.38,22.69,47954700,2024-11-26
22.755,23.94,22.23,23.86,80361500,2024-11-27
23.915,24.19,23.3,23.81,44865100,2024-11-28
23.795,24.085,23.715,23.965,34768100,2024-11-29
24.1,24.635,24.1,24.445,24333700,2024-12-02
24.525,24.545,23.52,23.615,24072200,2024-12-03
23.62,23.76,22.655,22.81,45476900,2024-12-04
22.835,23.41,22.5,23.275,41771100,2024-12-05
23.37,23.54,22.91,23.27,31210400,2024-12-06
23.32,23.795,23.32,23.74,25102000,2024-12-09
23.755,23.78,22.85,23.04,27973700,2024-12-10
23.0,23.19,22.75,23.085,35719500,2024-12-11
23.095,23.245,22.62,22.665,27487200,2024-12-12
22.685,22.8,22.545,22.665,16546600,2024-12-13
22.55,22.7,22.035,22.185,37700700,2024-12-16
22.2,22.42,21.52,21.95,42978500,2024-12-17
21.955,22.4,21.725,22.4,40860900,2024-12-18
22.38,23.0,22.125,22.495,76927800,2024-12-19
22.49,24.15,22.29,24.04,91973700,2024-12-20
24.165,24.425,23.82,24.125,78913700,2024-12-23
24.11,24.115,23.53,23.64,38501400,2024-12-24
23.625,23.785,23.28,23.655,53001700,2024-12-25
23.65,24.42,23.555,24.0,61915300,2024-12-26
24.005,24.25,23.6,23.87,46775200,2024-12-27
23.96,24.2,23.75,24.115,36422700,2024-12-28
24.23,25.06,24.23,24.98,58772300,2024-12-30
25.09,25.145,24.455,24.545,31924900,2025-01-03
24.505,24.67,24.3,24.565,18857100,2025-01-06
24.555,24.92,24.455,24.83,19068700,2025-01-08
24.91,25.025,23.76,23.865,48425300,2025-01-09
24.005,24.105,22.61,23.4,159304100,2025-01-10
23.55,23.68,23.18,23.475,66247900,2025-01-13
23.41,23.62,23.265,23.5,33239700,2025-01-14
23.6,23.98,23.22,23.945,42426500,2025-01-15
23.975,25.4,23.745,25.045,134476600,2025-01-16
25.0,25.38,24.75,25.185,69348600,2025-01-17
25.32,26.94,25.05,25.995,176041300,2025-01-20
26.04,27.125,25.7,27.075,115558800,2025-01-21
27.115,28.74,27.06,28.13,329943700,2025-01-22
28.045,28.65,27.555,28.4,148477000,2025-01-23
28.475,29.14,27.86,28.505,129265100,2025-01-24
28.44,28.63,27.22,27.28,101220300,2025-01-27
27.28,28.29,27.11,28.095,92858200,2025-01-28
28.095,28.2,27.585,27.72,36839300,2025-01-29
27.69,28.095,27.36,27.895,36453700,2025-01-30
27.92,28.45,27.325,27.725,54581000,2025-01-31
27.57,28.125,27.355,27.955,37125700,2025-02-03
27.96,28.3,27.515,27.7,31260600,2025-02-04
27.7,28.11,26.925,27.975,50075400,2025-02-05
28.065,28.76,27.9,28.37,76397100,2025-02-06
28.445,28.63,27.84,27.95,38404900,2025-02-07
28.1,28.46,27.93,28.0,44277700,2025-02-10
28.135,28.34,27.815,28.015,38440100,2025-02-11
28.015,29.285,27.82,28.8,114555300,2025-02-12
29.18,30.37,28.16,28.495,151846500,2025-02-13
28.695,29.19,27.07,28.14,86545700,2025-02-14
28.38,29.44,28.3,29.44,70008900,2025-02-17
29.44,29.58,28.3,28.52,65447800,2025-02-18
28.555,29.3,28.205,29.14,45531900,2025-02-19
29.24,29.42,28.765,29.13,57180100,2025-02-20
29.14,29.265,28.575,28.91,37618000,2025-02-21
28.91,29.095,28.64,29.085,37861600,2025-02-24
29.105,29.615,28.61,28.745,82855000,2025-02-25
28.74,28.945,27.68,28.175,77771700,2025-02-26
28.125,28.195,27.48,27.505,40760100,2025-02-27
27.505,28.2,27.08,27.8,51140800,2025-02-28
27.96,28.175,27.8,28.175,1532200,2025-03-01
27.795,27.995,27.645,27.7,2367500,2025-03-02
27.79,27.795,26.715,27.095,52668000,2025-03-03
27.28,28.015,27.02,27.79,66404200,2025-03-04
27.8,28.48,27.3,27.39,76791600,2025-03-05
27.425,27.865,27.16,27.26,51443000,2025-03-06
27.325,27.495,26.305,26.96,60577200,2025-03-07
27.03,27.235,26.725,26.8,26000300,2025-03-10
26.8,27.06,26.335,26.63,47841000,2025-03-11
26.76,26.76,25.74,25.965,65466900,2025-03-12
25.96,26.06,25.025,25.79,113780600,2025-03-13
25.74,26.06,25.4,25.78,44431200,2025-03-14
25.865,26.11,25.79,26.04,2280000,2025-03-15
26.12,26.5,26.09,26.36,8176600,2025-03-16
26.36,26.5,26.0,26.185,54633400,2025-03-17
26.185,26.45,25.8,25.905,59012000,2025-03-18
25.975,26.62,25.705,26.355,54039200,2025-03-19
26.435,26.59,25.75,26.105,48236500,2025-03-20
26.21,26.415,25.87,26.19,32345900,2025-03-21
26.145,27.375,25.82,27.13,111118700,2025-03-24
27.155,27.49,26.805,27.185,93007700,2025-03-25
27.275,27.43,26.295,26.4,39360700,2025-03-26
26.365,26.61,25.92,26.15,54910200,2025-03-27
26.21,26.285,25.4,25.475,56676100,2025-03-28
25.57,25.57,24.855,24.97,9150800,2025-03-29
24.95,25.105,24.855,24.855,3912000,2025-03-30
24.71,25.75,24.35,25.535,48006600,2025-03-31
25.57,25.845,24.41,24.56,49852300,2025-04-01
24.58,25.46,24.45,25.325,63451400,2025-04-02
25.315,25.595,24.36,24.695,65192500,2025-04-03
24.85,25.0,23.01,23.09,134966800,2025-04-04
23.0,23.415,22.85,23.33,10424400,2025-04-05
23.305,23.555,23.17,23.475,9747900,2025-04-06
22.995,23.095,21.31,22.525,175006300,2025-04-07
22.7,23.195,21.65,21.805,78841000,2025-04-08
21.6,23.16,21.35,23.06,93923200,2025-04-09
23.24,23.395,22.31,22.69,70997700,2025-04-10
22.705,23.485,22.7,23.405,54699900,2025-04-11
