open,high,low,close,volume,datetime
2534.0,2548.0,2395.5,2409.0,6894052,2024-10-25
2374.5,2396.0,2304.5,2322.5,6425262,2024-10-28
2330.5,2406.5,2311.5,2390.0,6180230,2024-10-29
2398.0,2410.5,2334.5,2341.0,5234253,2024-10-30
2329.0,2355.0,2307.0,2327.5,4480810,2024-10-31
2329.0,2349.0,2317.6,2344.0,3973837,2024-11-01
2346.8,2354.0,2293.8,2312.6,3886471,2024-11-02
2325.6,2334.0,2310.4,2324.2,3156690,2024-11-05
2402.8,2434.6,2348.4,2373.6,7920646,2024-11-06
2374.0,2482.0,2350.6,2482.0,6940349,2024-11-07
2517.0,2577.2,2486.0,2573.0,9895911,2024-11-08
2629.2,2642.6,2596.4,2614.2,8405825,2024-11-11
2608.0,2609.0,2543.6,2549.8,6710484,2024-11-12
2543.6,2584.8,2513.2,2524.0,7645956,2024-11-13
2529.8,2575.0,2526.6,2554.0,6827605,2024-11-14
2565.2,2606.4,2550.0,2603.6,6468291,2024-11-15
2541.4,2667.2,2530.0,2640.4,11492301,2024-11-18
2655.8,2675.4,2566.0,2591.0,12498495,2024-11-19
2605.6,2623.4,2530.0,2540.2,9959783,2024-11-20
2550.4,2579.0,2473.2,2576.4,10615457,2024-11-21
2581.8,2588.4,2412.2,2444.8,12277494,2024-11-22
2386.0,2394.8,2326.0,2339.6,7787474,2024-11-25
2340.2,2375.4,2251.2,2274.0,10452608,2024-11-26
2280.8,2389.8,2207.4,2384.8,16163668,2024-11-27
2390.6,2416.6,2330.4,2367.0,9854928,2024-11-28
2361.2,2424.0,2351.2,2387.8,7772522,2024-11-29
2404.0,2430.6,2388.4,2392.2,6213496,2024-12-02
2397.8,2402.6,2340.0,2352.0,6192827,2024-12-03
2353.2,2386.0,2272.0,2288.6,8308291,2024-12-04
2295.0,2374.6,2283.0,2371.0,9734842,2024-12-05
2376.0,2390.0,2336.0,2350.0,8374530,2024-12-06
2382.8,2410.0,2365.0,2395.0,6284361,2024-12-09
2397.4,2398.0,2342.0,2345.2,6592906,2024-12-10
2345.4,2351.2,2328.4,2346.4,5202965,2024-12-11
2351.8,2358.6,2302.2,2305.4,4911727,2024-12-12
2305.2,2312.8,2285.8,2289.0,4273828,2024-12-13
2284.8,2287.2,2180.2,2182.0,8218434,2024-12-16
2194.2,2221.6,2192.0,2221.4,6756179,2024-12-17
2223.4,2268.0,2207.0,2260.2,7494725,2024-12-18
2259.8,2299.8,2244.4,2272.0,9948802,2024-12-19
2271.8,2600.0,2263.4,2543.0,16771859,2024-12-20
2601.6,2640.0,2572.2,2624.4,12417138,2024-12-23
2621.0,2628.2,2565.2,2569.6,9701240,2024-12-24
2562.2,2641.8,2556.0,2634.4,11110247,2024-12-25
2641.8,2659.0,2622.2,2625.8,7246532,2024-12-26
2630.2,2645.0,2617.0,2637.0,4517492,2024-12-27
2640.4,2665.2,2638.4,2662.8,4055222,2024-12-28
2688.0,2752.2,2677.6,2752.2,5300906,2024-12-30
2756.0,2765.0,2678.0,2687.6,4637645,2025-01-03
2659.8,2717.2,2645.0,2714.0,5515189,2025-01-06
2707.2,2759.0,2705.0,2750.6,4908797,2025-01-08
2752.2,2792.6,2712.8,2734.0,11098579,2025-01-09
2755.0,2900.0,2738.2,2900.0,16992684,2025-01-10
2967.0,2999.0,2874.0,2891.6,16704473,2025-01-13
2874.0,2959.4,2864.6,2938.0,11158104,2025-01-14
2937.2,2995.4,2906.6,2985.6,7179559,2025-01-15
2995.0,3012.2,2965.4,2980.8,4841066,2025-01-16
2985.0,3053.0,2962.0,3052.8,5195584,2025-01-17
3089.4,3108.0,2936.8,2969.8,6830690,2025-01-20
2985.4,3057.6,2970.0,3041.8,3967461,2025-01-21
3044.6,3075.4,2990.0,3005.8,4166861,2025-01-22
3007.2,3025.0,2976.4,3022.2,2891082,2025-01-23
3022.4,3039.0,2996.0,3009.6,2549468,2025-01-24
3011.2,3016.4,2903.2,2912.8,2939131,2025-01-27
2912.8,3013.0,2881.0,3004.6,4781771,2025-01-28
3003.8,3045.0,2990.8,3020.2,3914437,2025-01-29
3021.0,3067.8,3021.0,3057.0,3548312,2025-01-30
3060.8,3098.8,3037.4,3041.8,3857729,2025-01-31
3038.0,3049.0,2990.8,3036.2,3064739,2025-02-03
3037.4,3056.8,2992.8,3000.6,2577013,2025-02-04
3003.0,3086.0,2982.6,3079.8,5042933,2025-02-05
3080.0,3135.0,3080.0,3103.0,4290315,2025-02-06
3107.2,3123.0,3098.0,3105.0,2281381,2025-02-07
3122.0,3188.4,3116.8,3143.8,5361637,2025-02-10
3155.2,3179.4,3145.0,3176.0,3022506,2025-02-11
3179.6,3400.0,3121.2,3373.2,11434648,2025-02-12
3398.6,3454.6,3281.0,3328.0,8445160,2025-02-13
3550.0,3550.0,3300.2,3364.4,9009016,2025-02-14
3412.0,3528.6,3407.0,3492.0,7294605,2025-02-17
3503.0,3513.4,3370.0,3390.6,6426329,2025-02-18
3415.0,3469.8,3382.0,3455.0,3504147,2025-02-19
3462.0,3478.4,3420.0,3436.6,2534266,2025-02-20
3439.4,3459.4,3392.8,3425.0,2370988,2025-02-21
3437.2,3455.0,3403.8,3452.0,1946326,2025-02-24
3457.0,3487.6,3428.0,3434.6,2583378,2025-02-25
3440.0,3455.0,3292.0,3324.8,4009574,2025-02-26
3324.6,3358.6,3235.0,3241.6,4257796,2025-02-27
3237.2,3338.8,3180.8,3287.6,6589601,2025-02-28
3308.8,3313.0,3296.8,3303.0,88273,2025-03-01
3290.0,3292.8,3269.0,3277.0,217202,2025-03-02
3270.2,3271.6,3185.2,3215.2,3453533,2025-03-03
3229.8,3416.0,3223.0,3383.2,4585169,2025-03-04
3378.6,3442.8,3320.0,3327.6,4325976,2025-03-05
3334.0,3390.2,3333.8,3368.2,2913193,2025-03-06
3371.8,3472.6,3331.2,3414.8,6944581,2025-03-07
3424.8,3455.0,3393.8,3422.6,2717073,2025-03-10
3428.8,3451.0,3386.0,3419.8,3266291,2025-03-11
3428.2,3438.8,3390.0,3417.2,2437502,2025-03-12
3422.4,3433.8,3319.6,3374.2,5685815,2025-03-13
3375.0,3448.6,3345.6,3440.4,3141281,2025-03-14
3438.2,3448.0,3438.0,3445.2,114578,2025-03-15
3446.6,3496.0,3446.4,3492.0,486421,2025-03-16
3495.0,3540.0,3488.2,3533.8,2811756,2025-03-17
3538.0,3649.2,3535.8,3564.8,7225936,2025-03-18
3570.0,3641.8,3555.0,3640.0,3302010,2025-03-19
3645.2,3685.0,3596.0,3632.4,3959616,2025-03-20
3640.0,3657.0,3601.4,3605.0,2679484,2025-03-21
3620.0,3624.0,3571.8,3597.6,2571802,2025-03-24
3601.0,3625.0,3547.6,3619.8,3246027,2025-03-25
3624.2,3632.4,3541.4,3557.6,2201824,2025-03-26
3561.2,3563.0,3385.0,3398.8,4633373,2025-03-27
3399.8,3460.0,3285.2,3304.0,6143071,2025-03-28
3299.8,3299.8,3255.4,3255.4,329604,2025-03-29
3255.4,3255.4,3255.4,3255.4,15767,2025-03-30
3212.0,3377.2,3200.0,3365.4,4751283,2025-03-31
3368.6,3424.0,3231.0,3252.2,4633891,2025-04-01
3257.8,3315.6,3225.0,3302.2,3561331,2025-04-02
3314.8,3343.6,3188.2,3272.4,4459062,2025-04-03
3306.0,3313.0,3024.0,3040.0,7263458,2025-04-04
3035.0,3066.2,2992.6,3047.0,852335,2025-04-05
3050.6,3114.6,3041.0,3113.4,857969,2025-04-06
3026.8,3199.0,2868.0,3096.6,10785638,2025-04-07
3115.6,3154.8,2972.4,2999.6,5643644,2025-04-08
2977.0,3153.8,2875.0,3148.8,9175558,2025-04-09
3160.0,3162.0,3055.2,3101.2,4388821,2025-04-10
3110.0,3170.0,3101.2,3169.4,3778545,2025-04-11
3176.2,3188.4,3173.0,3180.0,463241,2025-04-12
3179.8,3193.0,3153.2,3190.0,430466,2025-04-13
3187.2,3191.0,3079.0,3104.0,2666700,2025-04-14
3107.8,3153.8,3084.4,3147.8,2544228,2025-04-15
3138.0,3203.4,3112.0,3172.0,2931896,2025-04-16
3175.0,3225.0,3156.0,3225.0,3537058,2025-04-17
3185.2,3194.8,3127.0,3145.8,3596473,2025-04-18
3169.2,3239.0,3160.0,3225.0,3125529,2025-04-21
3227.8,3303.4,3210.0,3276.2,3809807,2025-04-22
3283.2,3286.0,3177.4,3214.6,4233563,2025-04-23
3218.0,3241.0,3203.2,3212.0,1947988,2025-04-24
3220.2,3289.0,3220.0,3284.4,3484103,2025-04-25
