open,high,low,close,volume,datetime
586.0,589.5,572.2,572.4,3769016,2024-10-25
569.4,573.5,540.5,542.4,4181940,2024-10-28
542.4,555.0,542.1,547.2,3505368,2024-10-29
548.9,552.7,538.1,538.3,3063994,2024-10-30
533.0,546.7,530.0,536.0,3110428,2024-10-31
536.7,545.0,532.2,536.0,3214894,2024-11-01
536.0,550.7,536.0,550.5,1668044,2024-11-02
552.2,558.0,548.0,548.4,3064374,2024-11-05
557.2,576.0,554.1,567.6,3555291,2024-11-06
568.7,580.0,557.3,578.0,4082055,2024-11-07
580.6,596.0,572.6,595.5,3780251,2024-11-08
599.2,604.5,588.8,592.0,5358247,2024-11-11
590.8,599.5,584.9,592.5,3447392,2024-11-12
592.6,599.4,581.4,583.2,3083707,2024-11-13
581.7,588.9,561.4,569.9,6108040,2024-11-14
568.9,578.0,566.4,576.1,1816754,2024-11-15
571.1,571.1,556.0,562.4,2768761,2024-11-18
562.6,565.0,540.0,545.2,3269634,2024-11-19
545.7,557.0,531.6,536.9,2977586,2024-11-20
537.3,544.7,525.2,543.5,2525963,2024-11-21
544.0,546.1,534.0,541.9,1792750,2024-11-22
542.2,543.2,512.2,515.3,4560258,2024-11-25
515.3,519.0,498.1,506.0,3796143,2024-11-26
506.2,519.4,499.0,519.0,4852056,2024-11-27
522.1,540.8,508.5,534.3,4013708,2024-11-28
534.4,549.0,531.1,544.9,3327258,2024-11-29
545.1,557.0,545.1,548.5,2566066,2024-12-02
549.7,552.0,534.7,538.5,2198086,2024-12-03
538.2,549.7,520.0,521.6,2692624,2024-12-04
521.8,554.8,520.2,547.5,4755405,2024-12-05
548.2,565.0,545.0,558.9,3781054,2024-12-06
560.5,575.5,560.4,566.2,3631770,2024-12-09
564.8,568.8,556.0,564.9,4745050,2024-12-10
564.4,574.9,561.7,574.1,3165521,2024-12-11
574.0,581.6,556.5,557.8,3474331,2024-12-12
557.7,573.7,553.3,571.6,2585472,2024-12-13
569.4,573.4,545.8,550.0,3921240,2024-12-16
549.0,564.0,548.4,556.2,3032306,2024-12-17
556.2,573.1,555.8,569.3,2584055,2024-12-18
570.5,583.0,557.5,563.9,9352511,2024-12-19
564.0,603.8,562.7,599.9,7608285,2024-12-20
605.2,638.7,605.2,636.0,4365450,2024-12-23
637.1,638.5,621.0,625.3,4036795,2024-12-24
624.8,634.6,617.0,629.2,2705759,2024-12-25
630.0,635.0,626.8,630.9,2339086,2024-12-26
631.6,637.4,628.6,635.8,1874087,2024-12-27
636.9,654.8,636.9,652.4,2069066,2024-12-28
653.9,695.7,653.9,688.9,3834388,2024-12-30
693.2,693.2,663.0,668.7,1719096,2025-01-03
668.7,670.3,655.7,666.2,1655382,2025-01-06
648.8,660.8,647.4,654.7,1347943,2025-01-08
653.7,659.3,631.4,633.9,1864250,2025-01-09
633.9,664.8,633.6,653.5,5138200,2025-01-10
656.8,674.0,655.2,667.9,4296010,2025-01-13
666.1,670.8,660.0,667.9,1964341,2025-01-14
668.1,671.6,649.5,670.6,2320317,2025-01-15
671.0,683.4,671.0,677.1,2495431,2025-01-16
678.7,682.7,669.3,673.6,2406123,2025-01-17
676.1,684.8,671.3,676.0,4009891,2025-01-20
677.1,682.0,674.4,681.0,1649110,2025-01-21
681.0,691.1,674.5,681.5,2926512,2025-01-22
680.9,688.8,679.0,686.4,1878808,2025-01-23
686.4,687.4,677.0,682.6,1401292,2025-01-24
682.6,682.9,661.1,667.5,2051265,2025-01-27
667.8,680.5,655.9,677.8,1903548,2025-01-28
677.8,683.7,673.4,679.0,1289409,2025-01-29
679.0,691.0,677.7,690.7,1670143,2025-01-30
689.9,694.3,680.0,683.9,1933320,2025-01-31
683.9,689.9,677.4,685.5,1874884,2025-02-03
685.5,693.0,683.2,686.7,2036493,2025-02-04
685.0,692.0,674.5,690.6,2441849,2025-02-05
691.0,699.3,682.7,695.8,2643813,2025-02-06
697.0,704.6,688.6,697.0,2462984,2025-02-07
698.4,707.0,696.8,700.3,1842607,2025-02-10
700.4,707.0,700.0,702.8,1577197,2025-02-11
702.6,739.0,693.7,737.0,4487676,2025-02-12
735.6,752.8,708.0,711.6,5044168,2025-02-13
698.7,738.7,675.0,716.9,4686293,2025-02-14
720.6,749.1,717.9,748.9,2288989,2025-02-17
749.0,750.0,731.9,737.5,2662462,2025-02-18
737.5,749.9,728.1,744.5,1525897,2025-02-19
744.5,750.3,736.8,745.3,1609535,2025-02-20
745.8,759.4,742.0,754.4,2791062,2025-02-21
749.9,757.6,742.1,752.8,2430405,2025-02-24
752.8,769.8,749.1,764.3,3693754,2025-02-25
764.3,769.5,729.0,737.3,3651232,2025-02-26
737.1,741.8,710.0,713.0,2560432,2025-02-27
713.0,740.7,704.2,732.4,2920002,2025-02-28
732.7,739.2,732.7,736.8,39253,2025-03-01
738.0,739.0,734.9,735.5,35602,2025-03-02
735.3,735.5,703.9,711.3,3389012,2025-03-03
711.5,725.0,705.8,714.7,3582653,2025-03-04
715.0,722.5,703.5,705.0,2649817,2025-03-05
705.2,709.8,692.2,700.5,2652728,2025-03-06
700.1,710.0,680.4,693.0,3331876,2025-03-07
693.0,698.6,680.6,683.6,1578761,2025-03-10
684.3,697.3,679.2,694.7,1661924,2025-03-11
694.6,699.5,683.2,694.1,1355833,2025-03-12
697.0,723.2,686.0,710.3,4233633,2025-03-13
708.5,719.3,701.7,715.8,2976497,2025-03-14
715.0,719.6,714.1,717.6,31913,2025-03-15
716.6,726.2,716.6,724.8,134520,2025-03-16
724.1,731.5,709.2,714.8,3060177,2025-03-17
715.5,717.3,698.0,705.0,3429790,2025-03-18
705.0,709.3,695.0,699.9,2534531,2025-03-19
699.6,703.0,677.3,688.6,5695390,2025-03-20
688.0,695.0,681.0,693.9,2060186,2025-03-21
693.0,694.2,683.9,686.6,1589489,2025-03-24
686.0,701.0,675.1,697.9,2331680,2025-03-25
698.0,704.0,682.0,684.5,1563819,2025-03-26
685.2,686.4,675.6,675.9,1540566,2025-03-27
677.2,689.2,667.1,687.6,3222690,2025-03-28
686.8,688.0,676.0,676.8,167990,2025-03-29
676.4,676.8,661.8,662.2,374845,2025-03-30
663.7,688.1,661.0,673.3,2130310,2025-03-31
673.5,678.0,653.0,653.5,1826500,2025-04-01
654.6,673.9,640.0,673.2,3307022,2025-04-02
671.5,672.9,640.2,649.4,3358209,2025-04-03
652.0,654.8,614.0,618.2,4428689,2025-04-04
615.7,615.9,600.5,608.1,353858,2025-04-05
608.4,627.0,606.1,623.5,277167,2025-04-06
619.0,639.2,581.5,636.3,6819766,2025-04-07
638.2,649.8,616.7,621.1,3326893,2025-04-08
619.7,645.3,603.0,638.2,5588184,2025-04-09
639.4,659.5,621.6,655.8,6857983,2025-04-10
655.4,686.9,653.4,686.9,5137945,2025-04-11
689.0,697.0,688.1,695.0,353195,2025-04-12
696.4,697.3,694.0,695.6,108761,2025-04-13
696.7,696.7,677.2,686.4,3146327,2025-04-14
683.5,689.6,674.6,684.1,2065441,2025-04-15
684.4,693.6,675.5,685.9,1868967,2025-04-16
687.0,697.3,676.5,694.0,2784966,2025-04-17
690.0,698.7,680.0,693.4,2010480,2025-04-18
695.3,707.7,690.3,706.6,2282051,2025-04-21
