open,high,low,close,volume,datetime
3973.0,4037.0,3810.5,3834.5,1413782,2024-10-25
3797.5,3874.5,3655.0,3743.0,1579127,2024-10-28
3767.5,3792.0,3670.0,3758.0,1093095,2024-10-29
3769.0,3817.5,3685.5,3710.0,730074,2024-10-30
3685.0,3734.5,3621.0,3666.5,761805,2024-10-31
3675.0,3700.0,3622.0,3674.0,797470,2024-11-01
3680.0,3694.0,3652.5,3683.5,245836,2024-11-02
3691.0,3703.5,3602.5,3646.0,657535,2024-11-05
3723.0,3787.5,3654.5,3677.0,1491341,2024-11-06
3677.0,3817.0,3619.0,3811.5,1055346,2024-11-07
3821.5,3895.0,3780.5,3888.0,955030,2024-11-08
3913.5,3944.0,3868.5,3885.0,911186,2024-11-11
3883.5,3889.0,3747.0,3758.5,1169514,2024-11-12
3747.5,3800.0,3682.5,3693.0,1401537,2024-11-13
3690.0,3730.0,3650.0,3678.0,828437,2024-11-14
3678.0,3721.0,3666.5,3712.0,745660,2024-11-15
3652.0,3708.5,3607.5,3649.0,974458,2024-11-18
3656.0,3678.0,3540.5,3560.0,1428212,2024-11-19
3572.0,3587.5,3424.0,3460.0,1309343,2024-11-20
3466.5,3513.0,3360.0,3509.0,1732102,2024-11-21
3500.0,3520.0,3406.0,3415.0,857379,2024-11-22
3414.5,3414.5,3294.0,3299.5,1160680,2024-11-25
3305.5,3354.5,3171.0,3211.0,1708636,2024-11-26
3224.5,3419.0,3092.0,3385.0,2659637,2024-11-27
3410.0,3446.0,3260.0,3365.5,1484869,2024-11-28
3352.5,3420.0,3305.5,3320.0,981237,2024-11-29
3324.5,3443.5,3322.5,3434.0,873607,2024-12-02
3442.5,3442.5,3338.0,3380.0,983796,2024-12-03
3370.0,3405.5,3218.0,3252.0,1236283,2024-12-04
3259.0,3384.0,3231.0,3378.5,1401001,2024-12-05
3381.0,3417.5,3330.5,3376.0,902660,2024-12-06
3399.0,3489.5,3386.0,3466.0,1046297,2024-12-09
3478.5,3483.0,3375.0,3379.5,910348,2024-12-10
3380.5,3399.5,3331.5,3397.0,785874,2024-12-11
3398.5,3414.0,3283.0,3284.0,769236,2024-12-12
3284.0,3333.0,3282.5,3321.0,510578,2024-12-13
3306.5,3322.0,3211.0,3232.5,948885,2024-12-16
3232.5,3288.5,3205.5,3248.5,821447,2024-12-17
3250.0,3279.5,3191.0,3255.0,971819,2024-12-18
3265.5,3359.0,3245.5,3339.0,1489884,2024-12-19
3340.0,3732.5,3320.5,3683.5,3331556,2024-12-20
3737.0,3974.0,3700.0,3800.0,2509680,2024-12-23
3806.5,3807.5,3680.5,3702.5,1528852,2024-12-24
3688.0,3800.0,3660.5,3790.0,1743078,2024-12-25
3799.5,3843.5,3730.0,3785.0,1428961,2024-12-26
3795.5,3856.0,3780.5,3848.0,831633,2024-12-27
3853.0,3930.0,3849.0,3928.5,674010,2024-12-28
3939.5,3998.5,3924.0,3994.0,614697,2024-12-30
4012.5,4027.5,3863.0,3872.5,903560,2025-01-03
3848.0,3894.5,3795.0,3891.5,401992,2025-01-06
3892.0,3934.0,3870.5,3926.0,292530,2025-01-08
3940.0,3940.0,3800.0,3811.5,590461,2025-01-09
3835.5,3950.0,3801.0,3934.0,952678,2025-01-10
3952.0,4080.5,3952.0,4014.0,1369396,2025-01-13
4011.0,4089.0,3980.0,4083.5,895103,2025-01-14
4091.0,4127.5,4021.5,4114.5,1124472,2025-01-15
4121.0,4130.0,4054.5,4065.5,972256,2025-01-16
4067.0,4124.0,4030.0,4113.0,714187,2025-01-17
4150.5,4164.0,4014.0,4020.0,1074976,2025-01-20
4034.0,4080.0,3958.5,4070.0,836720,2025-01-21
4075.5,4095.5,4016.0,4037.5,719729,2025-01-22
4040.0,4050.0,3981.0,4050.0,585055,2025-01-23
4052.5,4060.0,3996.0,4037.0,395134,2025-01-24
4035.0,4035.0,3940.5,3945.0,455690,2025-01-27
3942.0,4056.5,3923.5,4040.0,714036,2025-01-28
4040.0,4147.0,4029.0,4073.5,931970,2025-01-29
4072.5,4135.0,4071.0,4117.0,465937,2025-01-30
4117.0,4154.0,4057.0,4092.0,758059,2025-01-31
4081.0,4089.5,4005.0,4052.5,510246,2025-02-03
4053.5,4086.0,3978.0,4008.0,423479,2025-02-04
4010.0,4120.0,3993.5,4105.5,668883,2025-02-05
4107.0,4225.0,4095.0,4219.0,1686041,2025-02-06
4222.0,4245.5,4176.5,4200.0,896025,2025-02-07
4219.0,4287.0,4185.5,4217.0,987750,2025-02-10
4217.0,4293.0,4212.0,4287.0,697204,2025-02-11
4294.5,4568.0,4264.0,4519.5,2256058,2025-02-12
4560.0,4598.5,4454.5,4492.0,1664651,2025-02-13
4794.5,4794.5,4440.0,4549.0,1680291,2025-02-14
4591.5,4718.0,4585.0,4709.0,1204289,2025-02-17
4718.5,4749.5,4511.0,4550.0,1392035,2025-02-18
4550.5,4669.0,4527.0,4646.0,1127389,2025-02-19
4659.5,4734.0,4610.5,4649.0,1692515,2025-02-20
4670.0,4697.5,4590.0,4667.0,684070,2025-02-21
4668.0,4698.0,4608.5,4671.0,734370,2025-02-24
4671.0,4689.5,4620.0,4623.5,715033,2025-02-25
4625.0,4638.0,4412.0,4440.0,1558923,2025-02-26
4440.0,4519.5,4324.0,4377.0,1242048,2025-02-27
4376.0,4485.0,4300.0,4423.0,1388105,2025-02-28
4450.0,4455.0,4427.0,4438.0,13967,2025-03-01
4430.5,4432.5,4365.0,4376.0,40558,2025-03-02
4392.5,4399.5,4260.0,4347.5,1105947,2025-03-03
4368.0,4619.5,4356.0,4586.0,1426446,2025-03-04
4585.5,4630.0,4470.0,4497.0,924568,2025-03-05
4498.0,4577.5,4480.0,4513.5,561254,2025-03-06
4513.0,4640.0,4474.0,4553.0,1320168,2025-03-07
4560.5,4612.0,4537.0,4562.5,505481,2025-03-10
4572.5,4614.0,4541.5,4564.5,566193,2025-03-11
4569.0,4584.5,4501.0,4529.0,527855,2025-03-12
4536.0,4550.0,4361.0,4480.0,1445273,2025-03-13
4477.5,4558.0,4390.0,4527.0,781239,2025-03-14
4527.0,4544.0,4516.0,4527.5,35764,2025-03-15
4518.5,4597.5,4518.5,4584.5,44249,2025-03-16
4599.0,4675.0,4562.0,4673.5,705698,2025-03-17
4678.0,4730.0,4610.5,4622.0,1153460,2025-03-18
4618.5,4654.5,4595.5,4641.0,428607,2025-03-19
4641.0,4673.5,4566.5,4646.0,630399,2025-03-20
4655.0,4699.0,4611.0,4625.0,451957,2025-03-21
4635.0,4645.0,4555.5,4584.5,415599,2025-03-24
4580.0,4660.0,4541.0,4646.5,509353,2025-03-25
4652.5,4674.0,4550.5,4567.5,431690,2025-03-26
4564.0,4574.5,4422.5,4446.0,719251,2025-03-27
4442.0,4470.0,4324.5,4357.0,1050478,2025-03-28
4356.0,4357.0,4291.5,4293.0,51362,2025-03-29
4292.0,4323.0,4291.5,4291.5,44038,2025-03-30
4245.0,4520.0,4226.0,4476.0,978986,2025-03-31
4482.5,4540.0,4345.0,4355.5,757225,2025-04-01
4348.5,4435.0,4343.5,4409.0,737308,2025-04-02
4418.5,4434.0,4211.0,4291.0,859669,2025-04-03
4295.0,4313.0,4067.0,4088.0,1432610,2025-04-04
4075.0,4118.0,4006.5,4100.0,135683,2025-04-05
4081.5,4190.0,4080.5,4189.0,88213,2025-04-06
4105.0,4368.0,3901.0,4069.0,2643163,2025-04-07
4100.0,4143.0,3925.0,3969.5,1101887,2025-04-08
3965.0,4130.0,3770.0,4121.0,2061523,2025-04-09
4144.0,4144.0,4022.5,4064.5,916042,2025-04-10
4065.0,4224.0,4065.0,4176.0,1139519,2025-04-11
4180.0,4228.0,4180.0,4223.0,77924,2025-04-12
4242.0,4294.0,4229.0,4286.0,123053,2025-04-13
4271.0,4271.0,4091.5,4119.5,548765,2025-04-14
4135.0,4199.5,4111.0,4193.0,382196,2025-04-15
4185.5,4285.0,4132.0,4229.5,573476,2025-04-16
4234.0,4280.0,4140.5,4252.5,815593,2025-04-17
4205.0,4235.0,4150.0,4200.0,744500,2025-04-18
4215.0,4336.0,4210.5,4313.5,858242,2025-04-21
4315.5,4403.5,4302.0,4362.5,627502,2025-04-22
4362.5,4382.0,4182.0,4285.0,1088953,2025-04-23
4287.0,4372.5,4245.0,4293.0,584541,2025-04-24
4301.5,4374.0,4294.0,4371.5,759468,2025-04-25
