iter	Passed	Remaining
0	31	6285
1	66	6542
2	97	6422
3	127	6253
4	152	5950
5	178	5772
6	203	5609
7	246	5926
8	266	5664
9	286	5440
10	305	5254
11	329	5162
12	350	5045
13	372	4951
14	396	4888
15	419	4829
16	443	4778
17	465	4710
18	487	4647
19	512	4608
20	534	4554
21	557	4507
22	579	4456
23	601	4410
24	622	4358
25	643	4306
26	665	4266
27	691	4248
28	714	4213
29	736	4174
30	760	4148
31	783	4111
32	804	4072
33	828	4043
34	848	3999
35	869	3962
36	890	3924
37	910	3883
38	930	3842
39	950	3802
40	969	3761
41	991	3729
42	1014	3702
43	1033	3663
44	1052	3624
45	1071	3586
46	1092	3555
47	1112	3521
48	1132	3488
49	1151	3455
50	1171	3423
51	1212	3450
52	1231	3416
53	1250	3380
54	1269	3345
55	1288	3313
56	1308	3282
57	1328	3253
58	1350	3226
59	1369	3194
60	1390	3168
61	1410	3140
62	1430	3110
63	1450	3082
64	1469	3052
65	1489	3023
66	1525	3028
67	1554	3018
68	1599	3036
69	1623	3014
70	1644	2988
71	1663	2958
72	1684	2930
73	1704	2901
74	1724	2874
75	1745	2847
76	1765	2820
77	1786	2794
78	1806	2767
79	1826	2739
80	1845	2711
81	1866	2686
82	1887	2661
83	1906	2633
84	1925	2605
85	1944	2578
86	1964	2551
87	1983	2524
88	2003	2499
89	2023	2472
90	2044	2449
91	2066	2425
92	2086	2400
93	2106	2375
94	2125	2349
95	2144	2323
96	2163	2297
97	2185	2274
98	2206	2250
99	2227	2227
100	2246	2201
101	2268	2179
102	2289	2156
103	2310	2132
104	2329	2107
105	2348	2082
106	2374	2063
107	2409	2052
108	2453	2048
109	2476	2025
110	2497	2002
111	2516	1976
112	2536	1952
113	2555	1928
114	2577	1904
115	2597	1881
116	2618	1857
117	2639	1834
118	2661	1811
119	2680	1787
120	2701	1763
121	2723	1741
122	2746	1719
123	2766	1695
124	2786	1672
125	2806	1648
126	2825	1624
127	2847	1601
128	2867	1578
129	2887	1554
130	2910	1532
131	2932	1510
132	2952	1487
133	2971	1463
134	2991	1440
135	3011	1417
136	3031	1393
137	3052	1371
138	3072	1348
139	3092	1325
140	3111	1302
141	3135	1280
142	3154	1257
143	3174	1234
144	3195	1212
145	3215	1189
146	3234	1166
147	3254	1143
148	3273	1120
149	3293	1097
150	3314	1075
151	3333	1052
152	3352	1029
153	3372	1007
154	3393	985
155	3414	962
156	3439	942
157	3469	922
158	3497	901
159	3529	882
160	3549	859
161	3569	837
162	3588	814
163	3607	791
164	3626	769
165	3646	746
166	3665	724
167	3686	702
168	3705	679
169	3725	657
170	3744	634
171	3765	613
172	3786	590
173	3808	569
174	3828	546
175	3847	524
176	3867	502
177	3886	480
178	3906	458
179	3925	436
180	3944	414
181	3964	392
182	3984	370
183	4003	348
184	4023	326
185	4043	304
186	4063	282
187	4086	260
188	4112	239
189	4144	218
190	4166	196
191	4188	174
192	4209	152
193	4230	130
194	4250	108
195	4272	87
196	4293	65
197	4312	43
198	4332	21
199	4351	0
